transaction_id,account_id,transaction_date,transaction_type,description,transaction_amount,transaction_reference_id,utr_number
c7e0b987-7fda-4153-bec3-ec157982686c,be3241ca-0b4f-4346-84f8-dc2383fe8cb4,2024-04-20,debit,"ATM/Madan, Chacko and Varghese",-257467.96,,661160351047
42da113a-f694-4a7a-9b54-9d049a49274d,5e0e0e25-1345-469e-ab4a-12b5a854403a,2024-09-11,debit,TFR/HDFC ERGO,-38292.97,S7089829,816601823640
a2a7d812-407f-4858-a3e7-8f7766bba156,91524a66-aee2-4fbb-837c-ea9afb375367,2024-09-29,credit,UPI/HSBC MUTUAL FUND,16801.87,R3946749,504445424944
0e120caa-5fb8-47df-a672-e7563bdd389a,326d5f47-ad5d-4c6c-970e-7c1d33aed860,2026-04-19,credit,REV/RAZORPAY,262541.13,N8578838,761555266769
0898b179-288c-4032-986d-25b3156705b4,2b4896c5-9f3e-43d2-88c1-e5fee317bdd8,2026-01-10,debit,ATM/RELIANCE FRESH,-15479.46,S7053391,
8111e372-c10f-46d0-882c-2d09a367d2ea,addb7d2d-e8a6-48a2-a87d-2ef10ed3043c,2024-08-30,debit,INT/MORE SUPERMARKET,-3815.14,U7159886,434192712180
c4fa6655-dbd6-4966-ab9d-f784153ddbbd,4bfc4aa1-7200-472b-9195-d15d74754200,2025-12-08,credit,REF/ICICI LOMBARD,187574.78,S2849472,328415426106
cbcd0a39-81dc-4135-ae7c-6fad3092cade,1a7b8cc5-cb06-4edb-924a-f95f42742f14,2024-11-22,debit,WDL/GOOGLE PAY,-361839.37,N3614922,
7b4d1c98-8b21-4eda-b4e1-3c250229dd71,22139f87-e764-4c7c-b61a-a0ddfb5a3bce,2024-02-01,credit,RTGS/HP GAS,18279.83,I7468650,495598078691
865c3932-8282-45e1-b17e-48cd25318883,4beba49f-9bcc-48cd-839a-2fa05dc9d458,2025-04-02,credit,TFR/AIRTEL PAYMENTS BANK,42988.04,S7313458,218779769791
f49bfbb3-92cd-4e8a-8d83-a2b41cd16245,bb9ad8d2-dc40-4297-a1fe-862ffd4b89f9,2025-07-01,debit,CHQ/HDFC MUTUAL FUND,-173984.45,R8724992,147295111475
cdb26427-3362-445f-8846-974e22b2bba6,ad82b192-71ca-46e3-b07a-c29bc8b9e4ba,2026-01-14,debit,CHG/Soni-Cheema,-3524.76,U4391615,200336524338
