transaction_id,account_id,transaction_date,transaction_type,description,transaction_amount,transaction_reference_id,utr_number
001cb576-eb28-44b1-a219-0f3f27093fad,acfbe204-7541-492c-a352-040aa984bedc,2026-06-24 18:24:06.000000,debit,FT - 95842568 - 50200013729069 - SELECTION ELECTRONICS DAHISAR EAST,14866.00,1715499972,jhI5nAdyb1qOEjmcB3JvWjC6tTO+ZPVqBFPm/GiErC4TRBWRQ5ylPG3p
0021433a-8d92-40e9-b811-5ba994747975,6f306737-dfa8-4bf7-8003-be64034b8dea,2026-05-14 11:31:37.000000,debit,UPI-NAVYUG SELECTION-XXXXXX8672-AUBL0002125-103293775381-260514201735136,50000.00,103293775381,jhI5nAdyb1qOEjmcB3JvWjC9tzSzbvtkBlK+NSqsiL164ZK8Bl8cYg8y1l8=
00baf475-8710-4d17-b626-d25fc311eb7f,5cecd2c2-f075-4bbd-a08b-b156ca48dc7e,2025-12-16 18:13:34.000000,credit,R/RATNR52025121600100235/ZBFLCTP405PBL15667333//SELECTRICITY TWO PRIVATE LIMITED/RATNR52025121600100235 /SELECTRICITY TWO PRIVATE LIMITED,260000.00,S31125841,
014b7179-e696-4837-9b8e-7164d171b760,acfbe204-7541-492c-a352-040aa984bedc,2026-06-24 06:39:10.000000,debit,NEFT - UTIB0002678 - 95604250 - 915020031685136 - UMANG SELECTIONHAPURBPES DPF10129,7959.00,HDFCH01078329532,jhI5nAdyb1qOEjmcB3JvWknJwkXCbf1jBFm1NhmQqR0EoF/PNGRDCa1+UTH2I/tV
000000ac-39c5-4eb3-9fe3-ed40ceecee5d,e984c75d-aad6-4655-823a-4e9e06a869bc,2025-12-03 16:24:54.000000,debit,NEFT/000483399203/ICIC/PARESH VIKRANT GHASE,9241.00,S5314253,
04818df6-e726-4405-a8e3-4f6c15caa956,e767c3c1-3a0d-43b5-b2ff-06f49bdf3de2,2026-01-02 09:58:41.000000,credit,IMPS/P2A/600228462725/UTIB/918020101986700/00/INET/9211/SELECTIONMALIGAI/ZBFLCTP5L2PBL11476675/INWD48,36810.00,S69244711,
0178b656-4a7d-98e8-9540f6e24caf,ac1a0654-461b-4216-95d1-bbcb9ab6da4e,2026-03-17 14:53:45.000000,debit,IMPS OW/507614422198/Gautam singh/SBIN/43292707719,110.00,,
0266384b-929c-478d-a7da-a54acf984343,acfbe204-7541-492c-a352-040aa984bedc,2026-06-24 06:30:27.000000,debit,NEFT - ICIC0001241 - 95584112 - 124105002702 - SELECTION MOBILE,66899.00,HDFCH01078324740,jhI5nAdyb1qOEjmcB3JvWknJwkXCbf1jBFm1NhSSrh+QRpxgqe0VEdKaiI24S8Up
02c96198-4397-4160-b5ce-607f6696f581,acfbe204-7541-492c-a352-040aa984bedc,2026-06-24 06:56:01.000000,debit,NEFT - ICIC0001241 - 95600270 - 124105002702 - SELECTION MOBILE,79575.00,HDFCH01078342174,jhI5nAdyb1qOEjmcB3JvWknJwkXCbf1jBFm1MBKUrRvYyGUaTtHlT1wi23x31CRl
038969bd-5941-4d13-ba9f-dda911cc0b4e,6f306737-dfa8-4bf7-8003-be64034b8dea,2026-05-20 09:49:02.000000,debit,FT-RERELI2010000810-RELIANCEDIGITAL RETAIL LTD SELECT CITY SAKET DELHI,21156.00,1643797818,jhI5nAdyb1qOEjmcB3JvWjC7sDW9ZPtrAllbY+gS/wWLLijTRu8nX6op
