reconciliation_id,transaction_id,status,reconciled_date
REC000001,TXN000001,reconciled,2025-08-30
REC000002,TXN000002,reconciled,2025-11-24
REC000003,TXN000003,reconciled,2026-02-20
REC000004,TXN000004,unreconciled,
REC000005,TXN000005,unreconciled,
REC000006,TXN000006,reconciled,2025-12-05
REC000007,TXN000007,reconciled,2026-05-11
REC000008,TXN000008,reconciled,2026-09-02
REC000009,TXN000009,reconciled,2026-05-03
REC000010,TXN000010,reconciled,2026-02-22
REC000011,TXN000011,reconciled,2026-05-19
REC000012,TXN000012,reconciled,2026-03-21
REC000013,TXN000013,reconciled,2026-02-07
REC000014,TXN000014,reconciled,2026-06-01
REC000015,TXN000015,reconciled,2026-04-08
REC000016,TXN000016,reconciled,2025-09-28
REC000017,TXN000017,reconciled,2026-05-15
REC000018,TXN000018,pending,
REC000019,TXN000019,reconciled,2026-03-26
REC000020,TXN000020,unreconciled,
REC000021,TXN000021,reconciled,2026-07-14
REC000022,TXN000022,reconciled,2026-03-11
REC000023,TXN000023,reconciled,2025-12-23
REC000024,TXN000024,unreconciled,
REC000025,TXN000025,reconciled,2026-07-10
REC000026,TXN000026,reconciled,2026-02-13
REC000027,TXN000027,reconciled,2025-09-14
REC000028,TXN000028,reconciled,2026-05-29
REC000029,TXN000029,reconciled,2025-12-21
REC000030,TXN000030,unreconciled,
REC000031,TXN000031,reconciled,2025-08-28
REC000032,TXN000032,reconciled,2025-10-27
REC000033,TXN000033,reconciled,2025-10-19
REC000034,TXN000034,reconciled,2026-08-16
REC000035,TXN000035,reconciled,2026-05-21
REC000036,TXN000036,reconciled,2026-07-14
REC000037,TXN000037,unreconciled,
REC000038,TXN000038,pending,
REC000039,TXN000039,unreconciled,
REC000040,TXN000040,reconciled,2025-11-17
REC000041,TXN000041,reconciled,2026-08-21
REC000042,TXN000042,unreconciled,
REC000043,TXN000043,unreconciled,
REC000044,TXN000044,reconciled,2025-12-06
REC000045,TXN000045,reconciled,2026-07-07
REC000046,TXN000046,reconciled,2026-03-18
REC000047,TXN000047,reconciled,2026-03-14
REC000048,TXN000048,reconciled,2026-02-27
REC000049,TXN000049,reconciled,2025-10-20
REC000050,TXN000050,reconciled,2026-02-13
REC000051,TXN000051,reconciled,2026-01-31
REC000052,TXN000052,pending,
REC000053,TXN000053,reconciled,2025-11-05
REC000054,TXN000054,unreconciled,
REC000055,TXN000055,reconciled,2026-05-18
REC000056,TXN000056,reconciled,2026-04-14
REC000057,TXN000057,reconciled,2026-07-09
REC000058,TXN000058,reconciled,2026-04-25
REC000059,TXN000059,reconciled,2026-03-23
REC000060,TXN000060,reconciled,2026-09-01
REC000061,TXN000061,reconciled,2025-12-14
REC000062,TXN000062,reconciled,2026-03-27
REC000063,TXN000063,reconciled,2026-06-07
REC000064,TXN000064,reconciled,2026-07-26
REC000065,TXN000065,reconciled,2025-09-17
REC000066,TXN000066,reconciled,2026-05-19
REC000067,TXN000067,reconciled,2025-12-29
REC000068,TXN000068,reconciled,2025-11-24
REC000069,TXN000069,pending,
REC000070,TXN000070,reconciled,2026-02-10
REC000071,TXN000071,reconciled,2026-06-07
REC000072,TXN000072,unreconciled,
REC000073,TXN000073,reconciled,2026-03-11
REC000074,TXN000074,unreconciled,
REC000075,TXN000075,reconciled,2025-08-16
REC000076,TXN000076,reconciled,2025-11-19
REC000077,TXN000077,unreconciled,
REC000078,TXN000078,reconciled,2026-01-14
REC000079,TXN000079,reconciled,2025-10-18
REC000080,TXN000080,unreconciled,
REC000081,TXN000081,unreconciled,
REC000082,TXN000082,reconciled,2025-12-11
REC000083,TXN000083,pending,
REC000084,TXN000084,reconciled,2026-03-25
REC000085,TXN000085,unreconciled,
REC000086,TXN000086,reconciled,2025-12-14
REC000087,TXN000087,reconciled,2026-04-16
REC000088,TXN000088,reconciled,2026-02-27
REC000089,TXN000089,reconciled,2026-07-29
REC000090,TXN000090,reconciled,2026-06-07
REC000091,TXN000091,reconciled,2025-12-30
REC000092,TXN000092,unreconciled,
REC000093,TXN000093,pending,
REC000094,TXN000094,pending,
REC000095,TXN000095,pending,
REC000096,TXN000096,reconciled,2026-05-26
REC000097,TXN000097,reconciled,2026-02-22
REC000098,TXN000098,reconciled,2026-01-20
REC000099,TXN000099,reconciled,2026-08-18
REC000100,TXN000100,pending,
REC000101,TXN000101,reconciled,2025-10-15
REC000102,TXN000102,reconciled,2025-12-11
REC000103,TXN000103,unreconciled,
REC000104,TXN000104,reconciled,2025-08-16
REC000105,TXN000105,reconciled,2026-08-10
REC000106,TXN000106,reconciled,2026-07-19
REC000107,TXN000107,pending,
REC000108,TXN000108,unreconciled,
REC000109,TXN000109,reconciled,2025-12-04
REC000110,TXN000110,reconciled,2025-11-05
REC000111,TXN000111,pending,
