transaction_id,account_id,transaction_date,transaction_type,description,amount_minor,reference_id,utr_number,provenance
0003f833-87ad-4a60-8b81-403e3f181794,c17d39c2-d3f1-4ed7-b5d2-b7c3871e3784,2025-01-10,debit,REV/BAJAJ ALLIANZ GENERAL,-1228076,U6533138,,original_csv
00055fdf-b754-5f67-beec-4038bf682f9c,5e0e0e25-1345-469e-ab4a-12b5a854403a,2026-08-15,credit,SYNTHETIC/INTERNAL-IN,900000,SYN-INTERNAL-IN,SYNUTR-INTERNAL-IN,synthetic_extension_v1
000c352a-9f01-4032-8936-6052181ac4e4,49eaa4b6-a74e-4b2d-8876-11bbfc10ad81,2025-07-12,debit,DEP/NATIONAL INSURANCE,-1384235,T4788991,965298766515,original_csv
001034d7-35c4-41cd-9908-41ecaeb25066,d2fb0e08-d0ba-403a-a31d-d9d5e501f177,2026-07-16,credit,EMI/Bhakta LLC,4051108,T4545217,591139821665,original_csv
0010af22-610c-4d78-a269-a8859b83234a,8fc93022-f126-455c-9553-0c3fe562fc82,2025-08-15,credit,REV/HSBC MUTUAL FUND,699230,I3344351,,original_csv
001c0ca4-a498-4919-ad67-0e2d7fd1ff0d,160b95d8-cfc1-4af2-902e-a2d4a17d559c,2024-08-15,debit,EMI/L&T MUTUAL FUND,-2241522,S2220400,,original_csv
001cfa82-0427-4501-9fd3-b2066f784375,6b334939-260d-428e-808a-15f6b35a3da3,2025-11-25,debit,REF/NAVI MUTUAL FUND,-6298332,T5200757,,original_csv
002021f6-b862-4913-92cf-ebc943406146,d21d432d-0883-412c-9c5c-51a984721f30,2025-09-25,debit,EMI/PAYTM MONEY MUTUAL FUND,-4496664,I6540369,159478906208,original_csv
002165ee-9695-41ed-a7fa-a28e021e95e3,8503c9ff-4180-4ebe-9c66-a8a26b076248,2025-11-10,debit,DEP/BHARAT GAS,-2232523,S4350202,978807601675,original_csv
002590d2-1148-4a46-87e7-88e8e254d6f2,5e17430d-37ab-44c0-9947-0cf54f3be19f,2025-07-04,credit,POS/INDANE GAS,25720695,S9574359,141047849225,original_csv
002d71fe-35c1-4351-968a-6888998f29e4,a9e2adb2-12dd-4d92-a9d3-e9b2958648a3,2024-11-04,debit,CHG/IFFCO TOKIO,-20058555,N5589969,221041178874,original_csv
002e3e3d-ae78-4237-9f65-d392fac1094a,810b523b-b79c-4daa-bb29-5071dad08c38,2024-04-25,credit,TFR/PHONEPE WEALTH,3572646,U4215027,473188246409,original_csv
002fd47f-05dd-4668-afec-eee3d5929287,75fe4173-d691-4876-9e3c-66881fc677ed,2026-03-18,credit,POS/BESCOM,26008907,T2407714,863515270135,original_csv
003154e8-32c9-4524-ba38-5a7c942c2782,e4563dc8-338a-430a-855a-0345f4546e73,2025-01-16,debit,SAL/ADANI ELECTRICITY,-2342839,N9322684,,original_csv
0031e98d-f3a4-405e-928a-cda2a3172cde,1a7b8cc5-cb06-4edb-924a-f95f42742f14,2025-03-01,debit,LOAN/MORE SUPERMARKET,-11592188,I6015558,,original_csv
