case_id,entry_id
REC-AMBIG,LED-AMBIG-1
REC-AMBIG,LED-AMBIG-2
REC-BATCH,LED-BATCH-1
REC-BATCH,LED-BATCH-2
REC-CLOUD-HISTORY-1,LED-CLOUD-HISTORY-1
REC-CLOUD-HISTORY-2,LED-CLOUD-HISTORY-2
REC-CLOUD-HISTORY-3,LED-CLOUD-HISTORY-3
REC-CLOUD-HISTORY-4,LED-CLOUD-HISTORY-4
REC-CLOUD-HISTORY-5,LED-CLOUD-HISTORY-5
REC-CLOUD-HISTORY-6,LED-CLOUD-HISTORY-6
REC-CLOUD-OUTLIER,LED-CLOUD-OUTLIER
REC-DUPLICATE,LED-DUPLICATE
REC-EXACT,LED-EXACT
REC-FEE,LED-FEE
REC-FEE,LED-FEE-CHARGE
REC-FIRST-DAY,LED-FIRST-DAY
REC-INSTALLMENT-1,LED-INSTALLMENT-1
REC-INSTALLMENT-2,LED-INSTALLMENT-2
REC-INTERNAL-IN,LED-INTERNAL-IN
REC-INTERNAL-OUT,LED-INTERNAL-OUT
REC-JULY,LED-JULY
REC-LAST-DAY,LED-LAST-DAY
REC-LEGACY-0000,LED-LEGACY-0000
REC-LEGACY-0001,LED-LEGACY-0001
REC-LEGACY-0002,LED-LEGACY-0002
REC-LEGACY-0003,LED-LEGACY-0003
REC-LEGACY-0004,LED-LEGACY-0004
REC-LEGACY-0005,LED-LEGACY-0005
REC-LEGACY-0006,LED-LEGACY-0006
REC-LEGACY-0007,LED-LEGACY-0007
REC-LEGACY-0008,LED-LEGACY-0008
REC-LEGACY-0009,LED-LEGACY-0009
REC-LEGACY-0010,LED-LEGACY-0010
REC-LEGACY-0011,LED-LEGACY-0011
REC-LEGACY-0012,LED-LEGACY-0012
REC-LEGACY-0013,LED-LEGACY-0013
REC-LEGACY-0014,LED-LEGACY-0014
REC-LEGACY-0015,LED-LEGACY-0015
REC-LEGACY-0016,LED-LEGACY-0016
REC-LEGACY-0017,LED-LEGACY-0017
REC-LEGACY-0018,LED-LEGACY-0018
REC-LEGACY-0019,LED-LEGACY-0019
REC-LEGACY-0020,LED-LEGACY-0020
REC-LEGACY-0021,LED-LEGACY-0021
REC-LEGACY-0022,LED-LEGACY-0022
REC-LEGACY-0023,LED-LEGACY-0023
REC-LEGACY-0024,LED-LEGACY-0024
REC-LEGACY-0025,LED-LEGACY-0025
REC-LEGACY-0026,LED-LEGACY-0026
REC-LEGACY-0027,LED-LEGACY-0027
REC-LEGACY-0028,LED-LEGACY-0028
REC-LEGACY-0029,LED-LEGACY-0029
REC-LEGACY-0030,LED-LEGACY-0030
REC-LEGACY-0031,LED-LEGACY-0031
REC-LEGACY-0032,LED-LEGACY-0032
REC-LEGACY-0033,LED-LEGACY-0033
REC-LEGACY-0034,LED-LEGACY-0034
REC-LEGACY-0035,LED-LEGACY-0035
REC-LEGACY-0036,LED-LEGACY-0036
REC-LEGACY-0037,LED-LEGACY-0037
REC-LEGACY-0038,LED-LEGACY-0038
REC-LEGACY-0039,LED-LEGACY-0039
REC-LEGACY-0040,LED-LEGACY-0040
REC-LEGACY-0041,LED-LEGACY-0041
REC-LEGACY-0042,LED-LEGACY-0042
REC-LEGACY-0043,LED-LEGACY-0043
REC-LEGACY-0044,LED-LEGACY-0044
REC-LEGACY-0045,LED-LEGACY-0045
REC-LEGACY-0046,LED-LEGACY-0046
REC-LEGACY-0047,LED-LEGACY-0047
REC-LEGACY-0048,LED-LEGACY-0048
REC-LEGACY-0049,LED-LEGACY-0049
REC-LEGACY-0050,LED-LEGACY-0050
REC-LEGACY-0051,LED-LEGACY-0051
REC-LEGACY-0052,LED-LEGACY-0052
REC-LEGACY-0053,LED-LEGACY-0053
REC-LEGACY-0054,LED-LEGACY-0054
REC-LEGACY-0055,LED-LEGACY-0055
REC-LEGACY-0056,LED-LEGACY-0056
REC-LEGACY-0057,LED-LEGACY-0057
REC-LEGACY-0058,LED-LEGACY-0058
REC-LEGACY-0059,LED-LEGACY-0059
REC-LEGACY-0060,LED-LEGACY-0060
REC-LEGACY-0061,LED-LEGACY-0061
REC-LEGACY-0062,LED-LEGACY-0062
REC-LEGACY-0063,LED-LEGACY-0063
REC-LEGACY-0064,LED-LEGACY-0064
REC-LEGACY-0065,LED-LEGACY-0065
REC-LEGACY-0066,LED-LEGACY-0066
REC-LEGACY-0067,LED-LEGACY-0067
REC-LEGACY-0068,LED-LEGACY-0068
REC-LEGACY-0069,LED-LEGACY-0069
REC-LEGACY-0070,LED-LEGACY-0070
REC-LEGACY-0071,LED-LEGACY-0071
REC-LEGACY-0072,LED-LEGACY-0072
REC-LEGACY-0073,LED-LEGACY-0073
REC-LEGACY-0074,LED-LEGACY-0074
REC-LEGACY-0075,LED-LEGACY-0075
REC-LEGACY-0076,LED-LEGACY-0076
REC-LEGACY-0077,LED-LEGACY-0077
REC-LEGACY-0078,LED-LEGACY-0078
REC-LEGACY-0079,LED-LEGACY-0079
REC-LEGACY-0080,LED-LEGACY-0080
REC-LEGACY-0081,LED-LEGACY-0081
REC-LEGACY-0082,LED-LEGACY-0082
REC-LEGACY-0083,LED-LEGACY-0083
REC-LEGACY-0084,LED-LEGACY-0084
REC-LEGACY-0085,LED-LEGACY-0085
REC-LEGACY-0086,LED-LEGACY-0086
REC-LEGACY-0087,LED-LEGACY-0087
REC-LEGACY-0088,LED-LEGACY-0088
REC-LEGACY-0089,LED-LEGACY-0089
REC-LEGACY-0090,LED-LEGACY-0090
REC-LEGACY-0091,LED-LEGACY-0091
REC-LEGACY-0092,LED-LEGACY-0092
REC-LEGACY-0093,LED-LEGACY-0093
REC-LEGACY-0094,LED-LEGACY-0094
REC-LEGACY-0095,LED-LEGACY-0095
REC-LEGACY-0096,LED-LEGACY-0096
REC-LEGACY-0097,LED-LEGACY-0097
REC-LEGACY-0098,LED-LEGACY-0098
REC-LEGACY-0099,LED-LEGACY-0099
REC-LEGACY-0100,LED-LEGACY-0100
REC-LEGACY-0101,LED-LEGACY-0101
REC-LEGACY-0102,LED-LEGACY-0102
REC-LEGACY-0103,LED-LEGACY-0103
REC-LEGACY-0104,LED-LEGACY-0104
REC-LEGACY-0105,LED-LEGACY-0105
REC-LEGACY-0106,LED-LEGACY-0106
REC-LEGACY-0107,LED-LEGACY-0107
REC-LEGACY-0108,LED-LEGACY-0108
REC-LEGACY-0109,LED-LEGACY-0109
REC-LEGACY-0110,LED-LEGACY-0110
REC-LEGACY-0111,LED-LEGACY-0111
REC-LEGACY-0112,LED-LEGACY-0112
REC-LEGACY-0113,LED-LEGACY-0113
REC-LEGACY-0114,LED-LEGACY-0114
REC-LEGACY-0115,LED-LEGACY-0115
REC-LEGACY-0116,LED-LEGACY-0116
REC-LEGACY-0117,LED-LEGACY-0117
REC-LEGACY-0118,LED-LEGACY-0118
REC-LEGACY-0119,LED-LEGACY-0119
REC-LEGACY-0120,LED-LEGACY-0120
REC-LEGACY-0121,LED-LEGACY-0121
REC-LEGACY-0122,LED-LEGACY-0122
REC-LEGACY-0123,LED-LEGACY-0123
REC-LEGACY-0124,LED-LEGACY-0124
REC-LEGACY-0125,LED-LEGACY-0125
REC-LEGACY-0126,LED-LEGACY-0126
REC-LEGACY-0127,LED-LEGACY-0127
REC-LEGACY-0128,LED-LEGACY-0128
REC-LEGACY-0129,LED-LEGACY-0129
REC-LEGACY-0130,LED-LEGACY-0130
