entry_id,account_id,payout_id,expected_date,direction,amount_minor,entry_kind
LED-AMBIG-1,1dcd9b72-6467-4706-a221-bf5b9d6359d7,PAY-AMBIG-1,2026-08-15,debit,550000,vendor_payment
LED-AMBIG-2,1dcd9b72-6467-4706-a221-bf5b9d6359d7,PAY-AMBIG-2,2026-08-15,debit,550000,vendor_payment
LED-BATCH-1,1dcd9b72-6467-4706-a221-bf5b9d6359d7,PAY-BATCH-1,2026-08-15,debit,300000,vendor_payment
LED-BATCH-2,1dcd9b72-6467-4706-a221-bf5b9d6359d7,PAY-BATCH-2,2026-08-15,debit,700000,vendor_payment
LED-CLOUD-HISTORY-1,1dcd9b72-6467-4706-a221-bf5b9d6359d7,PAY-CLOUD-HISTORY-1,2026-07-04,debit,100000,vendor_payment
LED-CLOUD-HISTORY-2,1dcd9b72-6467-4706-a221-bf5b9d6359d7,PAY-CLOUD-HISTORY-2,2026-07-08,debit,100000,vendor_payment
LED-CLOUD-HISTORY-3,1dcd9b72-6467-4706-a221-bf5b9d6359d7,PAY-CLOUD-HISTORY-3,2026-07-12,debit,100000,vendor_payment
LED-CLOUD-HISTORY-4,1dcd9b72-6467-4706-a221-bf5b9d6359d7,PAY-CLOUD-HISTORY-4,2026-07-16,debit,100000,vendor_payment
LED-CLOUD-HISTORY-5,1dcd9b72-6467-4706-a221-bf5b9d6359d7,PAY-CLOUD-HISTORY-5,2026-07-20,debit,100000,vendor_payment
LED-CLOUD-HISTORY-6,1dcd9b72-6467-4706-a221-bf5b9d6359d7,PAY-CLOUD-HISTORY-6,2026-07-24,debit,100000,vendor_payment
LED-CLOUD-OUTLIER,1dcd9b72-6467-4706-a221-bf5b9d6359d7,PAY-CLOUD-OUTLIER,2026-08-25,debit,2500000,vendor_payment
LED-DUPLICATE,1dcd9b72-6467-4706-a221-bf5b9d6359d7,PAY-DUPLICATE,2026-08-15,debit,120000,vendor_payment
LED-EXACT,1dcd9b72-6467-4706-a221-bf5b9d6359d7,PAY-EXACT,2026-08-15,debit,1000000,vendor_payment
LED-FEE,1dcd9b72-6467-4706-a221-bf5b9d6359d7,PAY-FEE,2026-08-15,debit,1000000,vendor_payment
LED-FEE-CHARGE,1dcd9b72-6467-4706-a221-bf5b9d6359d7,,2026-08-15,debit,10000,bank_fee
LED-FIRST-DAY,1dcd9b72-6467-4706-a221-bf5b9d6359d7,PAY-FIRST-DAY,2026-08-01,debit,10000,vendor_payment
LED-INSTALLMENT-1,1dcd9b72-6467-4706-a221-bf5b9d6359d7,PAY-INSTALLMENT-1,2026-08-15,debit,400000,vendor_payment
LED-INSTALLMENT-2,1dcd9b72-6467-4706-a221-bf5b9d6359d7,PAY-INSTALLMENT-2,2026-08-15,debit,600000,vendor_payment
LED-INTERNAL-IN,5e0e0e25-1345-469e-ab4a-12b5a854403a,,2026-08-15,credit,900000,internal_transfer
LED-INTERNAL-OUT,1dcd9b72-6467-4706-a221-bf5b9d6359d7,,2026-08-15,debit,900000,internal_transfer
LED-JULY,1dcd9b72-6467-4706-a221-bf5b9d6359d7,PAY-JULY,2026-07-15,debit,750000,vendor_payment
LED-LAST-DAY,1dcd9b72-6467-4706-a221-bf5b9d6359d7,PAY-LAST-DAY,2026-08-31,debit,20000,vendor_payment
LED-LEGACY-0000,c17d39c2-d3f1-4ed7-b5d2-b7c3871e3784,PAY-LEGACY-0000,2025-01-10,debit,1228076,vendor_payment
LED-LEGACY-0001,37dee93e-9f2a-43a7-a4a2-f52fdfacf5ef,PAY-LEGACY-0001,2025-04-25,debit,3383498,vendor_payment
