invoice_id,vendor_id,invoice_date,due_date,amount_minor,provenance
INV-AMBIG-1,f22c83a8-9d83-5529-a9b5-56b892019de1,2026-08-15,2026-09-14,550000,synthetic_extension_v1
INV-AMBIG-2,f22c83a8-9d83-5529-a9b5-56b892019de1,2026-08-15,2026-09-14,550000,synthetic_extension_v1
INV-BATCH-1,f22c83a8-9d83-5529-a9b5-56b892019de1,2026-08-15,2026-09-14,300000,synthetic_extension_v1
INV-BATCH-2,f22c83a8-9d83-5529-a9b5-56b892019de1,2026-08-15,2026-09-14,700000,synthetic_extension_v1
INV-CANCELLED,8463a659-7733-5594-8590-3d7cd66a5c08,2026-09-04,2026-10-04,60000,synthetic_extension_v1
INV-CLOUD-HISTORY-1,5d74c914-28b2-5787-aa3b-55eaff8775e6,2026-07-04,2026-08-03,100000,synthetic_extension_v1
INV-CLOUD-HISTORY-2,5d74c914-28b2-5787-aa3b-55eaff8775e6,2026-07-08,2026-08-07,100000,synthetic_extension_v1
INV-CLOUD-HISTORY-3,5d74c914-28b2-5787-aa3b-55eaff8775e6,2026-07-12,2026-08-11,100000,synthetic_extension_v1
INV-CLOUD-HISTORY-4,5d74c914-28b2-5787-aa3b-55eaff8775e6,2026-07-16,2026-08-15,100000,synthetic_extension_v1
INV-CLOUD-HISTORY-5,5d74c914-28b2-5787-aa3b-55eaff8775e6,2026-07-20,2026-08-19,100000,synthetic_extension_v1
INV-CLOUD-HISTORY-6,5d74c914-28b2-5787-aa3b-55eaff8775e6,2026-07-24,2026-08-23,100000,synthetic_extension_v1
INV-CLOUD-OUTLIER,5d74c914-28b2-5787-aa3b-55eaff8775e6,2026-08-25,2026-09-24,2500000,synthetic_extension_v1
INV-DUPLICATE,f22c83a8-9d83-5529-a9b5-56b892019de1,2026-08-15,2026-09-14,120000,synthetic_extension_v1
INV-EXACT,f22c83a8-9d83-5529-a9b5-56b892019de1,2026-08-15,2026-09-14,1000000,synthetic_extension_v1
INV-FAILED,8463a659-7733-5594-8590-3d7cd66a5c08,2026-09-04,2026-10-04,70000,synthetic_extension_v1
INV-FEE,f22c83a8-9d83-5529-a9b5-56b892019de1,2026-08-15,2026-09-14,1000000,synthetic_extension_v1
INV-FIRST-DAY,f22c83a8-9d83-5529-a9b5-56b892019de1,2026-08-01,2026-08-31,10000,synthetic_extension_v1
INV-INSTALLMENTS,8f88c1b0-076b-5795-b71d-b486d2344bf6,2026-08-01,2026-08-31,1000000,synthetic_extension_v1
INV-JULY,f22c83a8-9d83-5529-a9b5-56b892019de1,2026-07-15,2026-08-14,750000,synthetic_extension_v1
INV-LAST-DAY,f22c83a8-9d83-5529-a9b5-56b892019de1,2026-08-31,2026-09-30,20000,synthetic_extension_v1
INV-LEGACY-0000,37fa3390-3c13-5b9d-91da-fd76fbb1f631,2025-01-10,2025-02-09,1228076,synthetic_extension_v1
INV-LEGACY-0001,bdfdbeed-dd68-51d8-81d7-883bde84ff57,2025-04-25,2025-05-25,3383498,synthetic_extension_v1
INV-LEGACY-0002,63d87a3d-61d1-5896-8685-ef82e2d0ff0c,2024-12-27,2025-01-26,1129332,synthetic_extension_v1
INV-LEGACY-0003,3045c937-d3d2-5d34-a1f6-1f3f4fd0a24c,2025-06-27,2025-07-27,42277702,synthetic_extension_v1
INV-LEGACY-0004,56f84b4c-e039-5f72-b3f7-41684d1e212a,2024-06-12,2024-07-12,262972,synthetic_extension_v1
INV-LEGACY-0005,6890ddec-c75c-5441-980b-5b0c7953a44c,2024-07-22,2024-08-21,2768795,synthetic_extension_v1
INV-LEGACY-0006,3456c0ef-54d0-5186-a3e4-ac20cf27a837,2026-05-16,2026-06-15,3935626,synthetic_extension_v1
INV-LEGACY-0007,c3c5af65-7bf1-5c62-9203-67d442c402f8,2025-07-20,2025-08-19,611289,synthetic_extension_v1
INV-LEGACY-0008,8eeb06f6-ac4a-502a-82ae-d92769fe3b88,2025-10-23,2025-11-22,3351493,synthetic_extension_v1
INV-LEGACY-0009,a0cf0f9f-64ca-5726-876b-4361d6b3ae3c,2024-07-02,2024-08-01,1558145,synthetic_extension_v1
INV-LEGACY-0010,f4429e57-7327-591d-a6e0-daa2dc7243ea,2025-11-23,2025-12-23,3792502,synthetic_extension_v1
INV-LEGACY-0011,5243a818-9d8e-5646-b3d1-2471cba98005,2025-07-02,2025-08-01,49886607,synthetic_extension_v1
INV-LEGACY-0012,bdfdbeed-dd68-51d8-81d7-883bde84ff57,2024-01-16,2024-02-15,3538184,synthetic_extension_v1
INV-LEGACY-0013,3c63875d-003b-5dad-a224-5ee021b53f6f,2025-03-09,2025-04-08,7976951,synthetic_extension_v1
INV-LEGACY-0014,3fd4db81-0f08-5859-90bd-ea8a08d9860a,2025-01-27,2025-02-26,3392034,synthetic_extension_v1
INV-LEGACY-0015,e4ae775b-af33-58eb-b006-541d8689a783,2026-05-06,2026-06-05,2162701,synthetic_extension_v1
INV-LEGACY-0016,2944fa7a-c322-53a9-ba46-4cb8c85c8d15,2026-02-05,2026-03-07,922768,synthetic_extension_v1
INV-LEGACY-0017,c1b1e75d-131d-5e69-86c5-c0c12e77406d,2025-08-21,2025-09-20,3357623,synthetic_extension_v1
INV-LEGACY-0018,54e16296-56ab-5e7f-9589-3ef42a534f10,2024-08-19,2024-09-18,434460,synthetic_extension_v1
INV-LEGACY-0019,bd8e03c0-b540-5225-85ee-86af7c924b1d,2026-08-31,2026-09-30,1920154,synthetic_extension_v1
INV-LEGACY-0020,062191ca-fb59-5745-8ad0-f4e1b0f0614e,2025-04-10,2025-05-10,4970182,synthetic_extension_v1
INV-LEGACY-0021,f4850a20-7781-56a4-ba35-69ed5bf54617,2025-08-21,2025-09-20,1406322,synthetic_extension_v1
INV-LEGACY-0022,435d18e8-7999-5cc3-9c2c-91f54578b5fc,2025-02-03,2025-03-05,4222435,synthetic_extension_v1
INV-LEGACY-0023,d0ea87f6-fd2c-5100-ad10-ec07ea13effe,2026-02-15,2026-03-17,737293,synthetic_extension_v1
INV-LEGACY-0024,56f84b4c-e039-5f72-b3f7-41684d1e212a,2025-01-01,2025-01-31,1240402,synthetic_extension_v1
INV-LEGACY-0025,3fd4db81-0f08-5859-90bd-ea8a08d9860a,2025-06-24,2025-07-24,527188,synthetic_extension_v1
INV-LEGACY-0026,7e8cc9d9-297c-5a39-b67c-3aaddece50d4,2024-07-07,2024-08-06,4655459,synthetic_extension_v1
INV-LEGACY-0027,19581aae-06ea-5c39-9399-25aef009de24,2024-02-18,2024-03-19,857059,synthetic_extension_v1
INV-LEGACY-0028,e64b0d81-2f42-5b01-8b7f-21aaf64f8ba4,2024-06-05,2024-07-05,30113683,synthetic_extension_v1
INV-LEGACY-0029,a37e9aba-5d93-5861-966e-d1a0276f97c2,2025-06-03,2025-07-03,420891,synthetic_extension_v1
INV-LEGACY-0030,a39f87b4-af54-56c4-9630-3a77a007a20e,2025-10-05,2025-11-04,39226797,synthetic_extension_v1
INV-LEGACY-0031,807ea2e2-6f6f-5cab-9638-b69db7d91d38,2024-01-23,2024-02-22,2106327,synthetic_extension_v1
INV-LEGACY-0032,6db5f047-b1cb-55f3-a343-da35c9d44f09,2025-12-28,2026-01-27,10995017,synthetic_extension_v1
INV-LEGACY-0033,c3c5af65-7bf1-5c62-9203-67d442c402f8,2026-02-07,2026-03-09,1828005,synthetic_extension_v1
INV-LEGACY-0034,79bc5040-2780-5da3-a308-c4a1b6ca2007,2024-03-07,2024-04-06,284947623,synthetic_extension_v1
INV-LEGACY-0035,a37e9aba-5d93-5861-966e-d1a0276f97c2,2024-09-14,2024-10-14,2310246,synthetic_extension_v1
INV-LEGACY-0036,37164bdb-4512-552f-8f5e-9f176f3fd5bb,2026-04-22,2026-05-22,42736831,synthetic_extension_v1
INV-LEGACY-0037,c3ee90ed-404d-5b52-9dc6-1da94d6809b4,2026-06-08,2026-07-08,20743512,synthetic_extension_v1
INV-LEGACY-0038,f4850a20-7781-56a4-ba35-69ed5bf54617,2026-02-16,2026-03-18,4150065,synthetic_extension_v1
INV-LEGACY-0039,252d221d-75f9-503d-a310-5720c7e3f003,2024-04-24,2024-05-24,1966502,synthetic_extension_v1
INV-LEGACY-0040,fc52ab5c-f5e8-52a1-b41d-42d60b68168f,2024-10-31,2024-11-30,47165231,synthetic_extension_v1
INV-LEGACY-0041,f4429e57-7327-591d-a6e0-daa2dc7243ea,2025-05-19,2025-06-18,3144303,synthetic_extension_v1
INV-LEGACY-0042,cf12fc5b-6cbd-5c4d-a645-d8cb8ffc3364,2025-02-20,2025-03-22,1311827,synthetic_extension_v1
INV-LEGACY-0043,fc52ab5c-f5e8-52a1-b41d-42d60b68168f,2025-03-03,2025-04-02,1143061,synthetic_extension_v1
INV-LEGACY-0044,b27be532-f849-53e0-b298-6c23a1f29e92,2025-10-29,2025-11-28,3856371,synthetic_extension_v1
INV-LEGACY-0045,64434ad1-9b52-5ac5-91f3-64bb3637d70f,2024-09-02,2024-10-02,4176687,synthetic_extension_v1
INV-LEGACY-0046,a37e9aba-5d93-5861-966e-d1a0276f97c2,2024-04-12,2024-05-12,39425761,synthetic_extension_v1
INV-LEGACY-0047,d0ea87f6-fd2c-5100-ad10-ec07ea13effe,2025-09-27,2025-10-27,3487802,synthetic_extension_v1
INV-LEGACY-0048,d367687c-f4d5-5b2d-b105-401bf0643699,2026-06-27,2026-07-27,3631845,synthetic_extension_v1
INV-LEGACY-0049,6890ddec-c75c-5441-980b-5b0c7953a44c,2024-02-24,2024-03-25,2985166,synthetic_extension_v1
INV-LEGACY-0050,e64b0d81-2f42-5b01-8b7f-21aaf64f8ba4,2024-12-18,2025-01-17,2318825,synthetic_extension_v1
INV-LEGACY-0051,840839a8-c7ea-5ee3-a49b-4add4123bfcc,2025-09-11,2025-10-11,7165231,synthetic_extension_v1
INV-LEGACY-0052,6b91b68f-afd1-5fa9-b57d-2087186b70e8,2025-03-21,2025-04-20,75735,synthetic_extension_v1
INV-LEGACY-0053,8c44d008-53f7-596a-b199-37f3269feea3,2024-01-30,2024-02-29,49749126,synthetic_extension_v1
INV-LEGACY-0054,9f50c1b9-b7d1-5b1c-b91d-4162a7d83ccd,2024-02-09,2024-03-10,26525928,synthetic_extension_v1
INV-LEGACY-0055,cb594e5f-b964-5154-b88d-6a5b35a1b057,2025-12-17,2026-01-16,3740616,synthetic_extension_v1
INV-LEGACY-0056,807ea2e2-6f6f-5cab-9638-b69db7d91d38,2025-11-07,2025-12-07,2050147,synthetic_extension_v1
INV-LEGACY-0057,3456c0ef-54d0-5186-a3e4-ac20cf27a837,2025-11-20,2025-12-20,35254899,synthetic_extension_v1
INV-LEGACY-0058,7a3e93c4-e59c-5eba-b29a-dfefb40948aa,2024-02-23,2024-03-24,543746,synthetic_extension_v1
INV-LEGACY-0059,21433154-873b-5278-942c-b1731fd3c3cb,2024-01-01,2024-01-31,1939638,synthetic_extension_v1
INV-LEGACY-0060,264879eb-432f-5dec-bb7c-ced8802ee711,2026-06-01,2026-07-01,163618,synthetic_extension_v1
INV-LEGACY-0061,b8412f27-5f6f-5b52-9764-cc61586ae013,2024-05-02,2024-06-01,602562,synthetic_extension_v1
INV-LEGACY-0062,8ad3ab75-1148-52cf-b7d9-e9f22926b24e,2026-05-25,2026-06-24,4986954,synthetic_extension_v1
