allocation_id,invoice_id,payout_id,amount_minor,allocation_date
00f01a45-523f-57d2-b67a-ab7d38826e15,INV-REVERSED,PAY-REVERSED,-320000,2026-08-16
01c62d3a-6483-5b2a-a725-689fd691b4db,INV-LEGACY-0120,PAY-LEGACY-0120,684024,2024-04-05
01f7a15e-9b85-57ac-8859-edc6f8a17ffb,INV-LEGACY-0124,PAY-LEGACY-0124,35662303,2024-11-22
023cafc4-ff02-5155-a412-b6bc82fa4597,INV-INSTALLMENTS,PAY-INSTALLMENT-1,400000,2026-08-15
028ffcc7-9f62-5c27-88f7-b1be91c112ef,INV-LEGACY-0344,PAY-LEGACY-0344,577955,2024-07-07
02a26693-f83a-5e7d-8bfe-276280a8977f,INV-LEGACY-0454,PAY-LEGACY-0454,5014808,2024-03-03
02a6c649-b8ca-5cc5-bdfe-6a85a306d37a,INV-SPLIT,PAY-SPLIT,1000000,2026-08-15
02b34ea9-aee1-57c7-ac75-8a4126a098a7,INV-LEGACY-0217,PAY-LEGACY-0217,3505819,2024-05-21
03d90f6b-973c-546e-af4d-749c73c2e312,INV-LEGACY-0452,PAY-LEGACY-0452,22620116,2025-04-07
0453cab0-75db-5d1b-90da-9b4e11b311f6,INV-LEGACY-0015,PAY-LEGACY-0015,2162701,2026-05-06
0468a529-638e-5d53-bc8c-ab43ff919def,INV-LEGACY-0416,PAY-LEGACY-0416,478676,2024-08-24
053a769e-9cb5-50e3-8792-51f64c739aed,INV-LEGACY-0099,PAY-LEGACY-0099,4583472,2025-11-20
05a17943-1df4-5afb-a781-d41706491efe,INV-LEGACY-0495,PAY-LEGACY-0495,194170515,2024-07-15
05acef4f-ae20-53b2-921e-ee90d8fde4ed,INV-LEGACY-0382,PAY-LEGACY-0382,1610783,2026-09-05
063542f2-1912-510d-94f7-d252553abc59,INV-LEGACY-0126,PAY-LEGACY-0126,1958541,2024-08-27
0643b074-4354-5773-b3b2-1a4e2b7d69b4,INV-LEGACY-0435,PAY-LEGACY-0435,39021973,2024-08-14
06dbb1de-9bbf-5041-bbc2-b52fd3ef0021,INV-LEGACY-0341,PAY-LEGACY-0341,4621064,2025-08-12
06f76ddc-4a16-54af-be6d-c02480e24c04,INV-LEGACY-0105,PAY-LEGACY-0105,333640,2025-08-10
078a5efb-8619-52a1-a297-1875db401523,INV-LEGACY-0164,PAY-LEGACY-0164,47538141,2024-07-30
07f68429-62a6-5a4c-8ecb-2da90f1865dc,INV-LEGACY-0235,PAY-LEGACY-0235,33877227,2024-11-11
08516b7a-1a58-5820-bc1b-66e959182a3a,INV-LEGACY-0240,PAY-LEGACY-0240,4028439,2024-12-29
