payout_id,invoice_id,vendor_id,account_id,requested_date,settled_date,amount_minor,status,provenance
PAY-AMBIG-1,INV-AMBIG-1,f22c83a8-9d83-5529-a9b5-56b892019de1,1dcd9b72-6467-4706-a221-bf5b9d6359d7,2026-08-15,,550000,processing,synthetic_extension_v1
PAY-AMBIG-2,INV-AMBIG-2,f22c83a8-9d83-5529-a9b5-56b892019de1,1dcd9b72-6467-4706-a221-bf5b9d6359d7,2026-08-15,,550000,processing,synthetic_extension_v1
PAY-BATCH-1,INV-BATCH-1,f22c83a8-9d83-5529-a9b5-56b892019de1,1dcd9b72-6467-4706-a221-bf5b9d6359d7,2026-08-15,2026-08-15,300000,succeeded,synthetic_extension_v1
PAY-BATCH-2,INV-BATCH-2,f22c83a8-9d83-5529-a9b5-56b892019de1,1dcd9b72-6467-4706-a221-bf5b9d6359d7,2026-08-15,2026-08-15,700000,succeeded,synthetic_extension_v1
PAY-CANCELLED,INV-CANCELLED,8463a659-7733-5594-8590-3d7cd66a5c08,1dcd9b72-6467-4706-a221-bf5b9d6359d7,2026-09-04,,60000,cancelled,synthetic_extension_v1
PAY-CLOUD-HISTORY-1,INV-CLOUD-HISTORY-1,5d74c914-28b2-5787-aa3b-55eaff8775e6,1dcd9b72-6467-4706-a221-bf5b9d6359d7,2026-07-04,2026-07-04,100000,succeeded,synthetic_extension_v1
PAY-CLOUD-HISTORY-2,INV-CLOUD-HISTORY-2,5d74c914-28b2-5787-aa3b-55eaff8775e6,1dcd9b72-6467-4706-a221-bf5b9d6359d7,2026-07-08,2026-07-08,100000,succeeded,synthetic_extension_v1
PAY-CLOUD-HISTORY-3,INV-CLOUD-HISTORY-3,5d74c914-28b2-5787-aa3b-55eaff8775e6,1dcd9b72-6467-4706-a221-bf5b9d6359d7,2026-07-12,2026-07-12,100000,succeeded,synthetic_extension_v1
PAY-CLOUD-HISTORY-4,INV-CLOUD-HISTORY-4,5d74c914-28b2-5787-aa3b-55eaff8775e6,1dcd9b72-6467-4706-a221-bf5b9d6359d7,2026-07-16,2026-07-16,100000,succeeded,synthetic_extension_v1
PAY-CLOUD-HISTORY-5,INV-CLOUD-HISTORY-5,5d74c914-28b2-5787-aa3b-55eaff8775e6,1dcd9b72-6467-4706-a221-bf5b9d6359d7,2026-07-20,2026-07-20,100000,succeeded,synthetic_extension_v1
PAY-CLOUD-HISTORY-6,INV-CLOUD-HISTORY-6,5d74c914-28b2-5787-aa3b-55eaff8775e6,1dcd9b72-6467-4706-a221-bf5b9d6359d7,2026-07-24,2026-07-24,100000,succeeded,synthetic_extension_v1
PAY-CLOUD-OUTLIER,INV-CLOUD-OUTLIER,5d74c914-28b2-5787-aa3b-55eaff8775e6,1dcd9b72-6467-4706-a221-bf5b9d6359d7,2026-08-25,2026-08-25,2500000,succeeded,synthetic_extension_v1
PAY-DUPLICATE,INV-DUPLICATE,f22c83a8-9d83-5529-a9b5-56b892019de1,1dcd9b72-6467-4706-a221-bf5b9d6359d7,2026-08-15,2026-08-15,120000,succeeded,synthetic_extension_v1
PAY-EXACT,INV-EXACT,f22c83a8-9d83-5529-a9b5-56b892019de1,1dcd9b72-6467-4706-a221-bf5b9d6359d7,2026-08-15,2026-08-15,1000000,succeeded,synthetic_extension_v1
PAY-FAILED,INV-FAILED,8463a659-7733-5594-8590-3d7cd66a5c08,1dcd9b72-6467-4706-a221-bf5b9d6359d7,2026-09-04,,70000,failed,synthetic_extension_v1
PAY-FEE,INV-FEE,f22c83a8-9d83-5529-a9b5-56b892019de1,1dcd9b72-6467-4706-a221-bf5b9d6359d7,2026-08-15,2026-08-15,1000000,succeeded,synthetic_extension_v1
PAY-FIRST-DAY,INV-FIRST-DAY,f22c83a8-9d83-5529-a9b5-56b892019de1,1dcd9b72-6467-4706-a221-bf5b9d6359d7,2026-08-01,2026-08-01,10000,succeeded,synthetic_extension_v1
PAY-INSTALLMENT-1,INV-INSTALLMENTS,8f88c1b0-076b-5795-b71d-b486d2344bf6,1dcd9b72-6467-4706-a221-bf5b9d6359d7,2026-08-15,2026-08-15,400000,succeeded,synthetic_extension_v1
PAY-INSTALLMENT-2,INV-INSTALLMENTS,8f88c1b0-076b-5795-b71d-b486d2344bf6,1dcd9b72-6467-4706-a221-bf5b9d6359d7,2026-08-15,2026-08-15,600000,succeeded,synthetic_extension_v1
PAY-JULY,INV-JULY,f22c83a8-9d83-5529-a9b5-56b892019de1,1dcd9b72-6467-4706-a221-bf5b9d6359d7,2026-07-15,2026-07-15,750000,succeeded,synthetic_extension_v1
