attempt_id,payout_id,attempt_number,attempt_date,status,failure_code
ATT-AMBIG-1-1,PAY-AMBIG-1,1,2026-08-15,processing,
ATT-AMBIG-2-1,PAY-AMBIG-2,1,2026-08-15,processing,
ATT-BATCH-1-1,PAY-BATCH-1,1,2026-08-15,succeeded,
ATT-BATCH-2-1,PAY-BATCH-2,1,2026-08-15,succeeded,
ATT-CANCELLED-1,PAY-CANCELLED,1,2026-09-04,cancelled,
ATT-CLOUD-HISTORY-1-1,PAY-CLOUD-HISTORY-1,1,2026-07-04,succeeded,
ATT-CLOUD-HISTORY-2-1,PAY-CLOUD-HISTORY-2,1,2026-07-08,succeeded,
ATT-CLOUD-HISTORY-3-1,PAY-CLOUD-HISTORY-3,1,2026-07-12,succeeded,
ATT-CLOUD-HISTORY-4-1,PAY-CLOUD-HISTORY-4,1,2026-07-16,succeeded,
ATT-CLOUD-HISTORY-5-1,PAY-CLOUD-HISTORY-5,1,2026-07-20,succeeded,
ATT-CLOUD-HISTORY-6-1,PAY-CLOUD-HISTORY-6,1,2026-07-24,succeeded,
ATT-CLOUD-OUTLIER-1,PAY-CLOUD-OUTLIER,1,2026-08-25,succeeded,
ATT-DUPLICATE-1,PAY-DUPLICATE,1,2026-08-15,succeeded,
ATT-EXACT-1,PAY-EXACT,1,2026-08-15,succeeded,
ATT-FAILED-1,PAY-FAILED,1,2026-09-04,failed,BANK_REJECTED
ATT-FEE-1,PAY-FEE,1,2026-08-15,succeeded,
ATT-FIRST-DAY-1,PAY-FIRST-DAY,1,2026-08-01,succeeded,
ATT-INSTALLMENT-1-1,PAY-INSTALLMENT-1,1,2026-08-15,succeeded,
ATT-INSTALLMENT-2-1,PAY-INSTALLMENT-2,1,2026-08-15,succeeded,
ATT-JULY-1,PAY-JULY,1,2026-07-15,succeeded,
ATT-LAST-DAY-1,PAY-LAST-DAY,1,2026-08-31,succeeded,
ATT-LEGACY-0000-1,PAY-LEGACY-0000,1,2025-01-10,succeeded,
ATT-LEGACY-0001-1,PAY-LEGACY-0001,1,2025-04-25,succeeded,
ATT-LEGACY-0002-1,PAY-LEGACY-0002,1,2024-12-27,succeeded,
ATT-LEGACY-0003-1,PAY-LEGACY-0003,1,2025-06-27,succeeded,
ATT-LEGACY-0004-1,PAY-LEGACY-0004,1,2024-06-12,succeeded,
ATT-LEGACY-0005-1,PAY-LEGACY-0005,1,2024-07-22,succeeded,
ATT-LEGACY-0006-1,PAY-LEGACY-0006,1,2026-05-16,succeeded,
ATT-LEGACY-0007-1,PAY-LEGACY-0007,1,2025-07-20,succeeded,
ATT-LEGACY-0008-1,PAY-LEGACY-0008,1,2025-10-23,succeeded,
ATT-LEGACY-0009-1,PAY-LEGACY-0009,1,2024-07-02,succeeded,
ATT-LEGACY-0010-1,PAY-LEGACY-0010,1,2025-11-23,succeeded,
ATT-LEGACY-0011-1,PAY-LEGACY-0011,1,2025-07-02,succeeded,
ATT-LEGACY-0012-1,PAY-LEGACY-0012,1,2024-01-16,succeeded,
ATT-LEGACY-0013-1,PAY-LEGACY-0013,1,2025-03-09,succeeded,
ATT-LEGACY-0014-1,PAY-LEGACY-0014,1,2025-01-27,succeeded,
ATT-LEGACY-0015-1,PAY-LEGACY-0015,1,2026-05-06,succeeded,
ATT-LEGACY-0016-1,PAY-LEGACY-0016,1,2026-02-05,succeeded,
ATT-LEGACY-0017-1,PAY-LEGACY-0017,1,2025-08-21,succeeded,
