payout_id,transaction_id,role
PAY-BATCH-1,871e44a9-090b-5889-a8b2-945d7832e79c,settlement
PAY-BATCH-2,871e44a9-090b-5889-a8b2-945d7832e79c,settlement
PAY-CLOUD-HISTORY-1,f4259c18-b2f5-5419-ad30-90b3e88e8a8b,settlement
PAY-CLOUD-HISTORY-2,2504e461-b77c-5f41-be25-4aa89213b612,settlement
PAY-CLOUD-HISTORY-3,626222d8-79c9-5acf-9503-a00b551f1a9c,settlement
PAY-CLOUD-HISTORY-4,e2857c52-b027-5a89-91a1-6b4eab59cd15,settlement
PAY-CLOUD-HISTORY-5,fd33d70f-b726-552b-9a95-7c5b4b050e9f,settlement
PAY-CLOUD-HISTORY-6,005939f9-1b27-56e8-956c-72a7d9c4c36e,settlement
PAY-CLOUD-OUTLIER,86bba9e3-8c33-567f-a756-968088746855,settlement
PAY-DUPLICATE,86555dea-681b-5b03-be6b-e1d064618a13,suspected_duplicate
PAY-DUPLICATE,de2ddf15-a3c5-5119-802d-ccdf7644ce91,settlement
PAY-EXACT,9a27e7b5-1cf3-5a58-8079-fec1365271d8,settlement
PAY-FEE,c618cf86-6d9c-5567-8146-462784d1c6cc,settlement
PAY-FIRST-DAY,de6ba5cf-5275-5a39-80b2-2a9d8c1101e7,settlement
PAY-INSTALLMENT-1,237a51dd-026d-5ef4-b4da-89aec0bf5891,settlement
PAY-INSTALLMENT-2,94d174a8-a215-5e4e-8b57-0db716bf3470,settlement
PAY-JULY,423b89ac-c2e0-5105-8372-2708ee4c21f6,settlement
PAY-LAST-DAY,0b87dbfc-ac1b-5cf0-bdb5-ef31bc93a174,settlement
PAY-LEGACY-0000,0003f833-87ad-4a60-8b81-403e3f181794,settlement
PAY-LEGACY-0001,006fc029-d2b8-422a-a8bf-2348fec828b2,settlement
PAY-LEGACY-0002,01182640-c462-4fc8-9e45-8de8f10ba983,settlement
PAY-LEGACY-0003,018746b9-a3a2-4819-8601-b55c15e143e4,settlement
PAY-LEGACY-0004,01fc9b43-2b5c-495d-8923-3f669a3494dc,settlement
PAY-LEGACY-0005,025ccaaa-f7fc-44ae-8254-415debbd3bf7,settlement
PAY-LEGACY-0006,02ea9355-8897-4daa-9c59-4694d08c9761,settlement
PAY-LEGACY-0007,0361f65c-0f03-432f-8d38-4f969b56d818,settlement
PAY-LEGACY-0008,03d64b3b-16eb-43ac-8785-427f28281240,settlement
PAY-LEGACY-0009,045b3500-5edd-441f-8560-6c8a5c8d0547,settlement
PAY-LEGACY-0010,04e1ec7f-d12c-4505-abec-d52459e1aac9,settlement
PAY-LEGACY-0011,0561e53e-09be-41e4-b218-5684c985a261,settlement
PAY-LEGACY-0012,05c92dea-632f-4ab2-a096-80b670fc73eb,settlement
PAY-LEGACY-0013,06506558-2f08-40fd-a904-927e455e1e3f,settlement
PAY-LEGACY-0014,06db50b1-6839-4437-92a8-b160a6ed7515,settlement
PAY-LEGACY-0015,074db3b4-32d1-47ea-83cc-f49a4f538542,settlement
PAY-LEGACY-0016,07ae4ab8-73d3-4e6e-9a60-82292d0c4195,settlement
PAY-LEGACY-0017,08568f29-ab49-46c4-bb9d-dd42dc4307a9,settlement
PAY-LEGACY-0018,08c4c008-cc6f-41d6-8970-58578b339600,settlement
PAY-LEGACY-0019,0944fe54-9a05-4cff-857b-5c26e433e041,settlement
PAY-LEGACY-0020,09df2a1d-50e7-42a8-a7eb-5831dc74557f,settlement
PAY-LEGACY-0021,0a7ba1b1-c9a3-45f1-9978-54786a9564db,settlement
PAY-LEGACY-0022,0adca052-da70-4472-ac53-018d005f5ecf,settlement
PAY-LEGACY-0023,0b4342f6-1404-4a67-80fb-9d3da3ce2ec2,settlement
PAY-LEGACY-0024,0bdd45a4-3ace-4931-93fa-f4e2f0c75829,settlement
PAY-LEGACY-0025,0c489540-e410-47a7-91e5-fbb3f5be665f,settlement
PAY-LEGACY-0026,0cc1bc50-4ebd-4209-8689-deb63d009ec2,settlement
PAY-LEGACY-0027,0d506cff-f636-490c-91c4-8c9eda33a09c,settlement
PAY-LEGACY-0028,0dbd0ce3-f9d5-41d6-bbc4-c4174e940c4a,settlement
PAY-LEGACY-0029,0e156fa4-6bbc-4b32-8c28-f95d20ac43e3,settlement
PAY-LEGACY-0030,0e6f82ca-2313-4049-a4f4-a42d3d2c19a8,settlement
PAY-LEGACY-0031,0f027711-c07a-400d-b820-55024e580df0,settlement
PAY-LEGACY-0032,0fa3c989-d1f5-4fb3-bc07-0cdfb70b5285,settlement
