case_id,status,reason_code,as_of_date,review_note
REC-AMBIG,ambiguous,multiple_candidates,2026-09-05,Synthetic adjudication: multiple_candidates
REC-BATCH,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-CLOUD-HISTORY-1,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-CLOUD-HISTORY-2,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-CLOUD-HISTORY-3,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-CLOUD-HISTORY-4,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-CLOUD-HISTORY-5,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-CLOUD-HISTORY-6,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-CLOUD-OUTLIER,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-DUPLICATE,ambiguous,possible_duplicate,2026-09-05,Synthetic adjudication: possible_duplicate
REC-EXACT,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-FEE,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-FIRST-DAY,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-INSTALLMENT-1,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-INSTALLMENT-2,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-INTERNAL-IN,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-INTERNAL-OUT,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-JULY,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LAST-DAY,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0000,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0001,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0002,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0003,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0004,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0005,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0006,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0007,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0008,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0009,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0010,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0011,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0012,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0013,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0014,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0015,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0016,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0017,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0018,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0019,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0020,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0021,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0022,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0023,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0024,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0025,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0026,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0027,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0028,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0029,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0030,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0031,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0032,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0033,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0034,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0035,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0036,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0037,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0038,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0039,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0040,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0041,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0042,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0043,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
REC-LEGACY-0044,reconciled,exact_match,2026-09-05,Synthetic adjudication: exact_match
