case_id,family,question,expected_behavior,reference_sql,expected_result,evidence_sql,expected_explanation
G001,spend,How much did we spend on vendor payouts last month?,answer,"SELECT COUNT(DISTINCT transaction_id) transaction_count,COALESCE(SUM(outflow_minor),0) amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='vendor_payment'","[{""transaction_count"": 39, ""amount_minor"": 477958904}]","SELECT transaction_id,vendor_id,category_code,kind,amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='vendor_payment' ORDER BY transaction_id,kind","Defined as observed gross vendor cash outflow, excluding fees, transfers and unclassified movements. Includes disputed cash; status-filtered payouts are a separate metric."
G002,spend,And the month before?,answer,"SELECT COUNT(DISTINCT transaction_id) transaction_count,COALESCE(SUM(outflow_minor),0) amount_minor FROM v_cashflow WHERE transaction_date >= '2026-07-01' AND transaction_date < '2026-08-01' AND kind='vendor_payment'","[{""transaction_count"": 27, ""amount_minor"": 578501006}]","SELECT transaction_id,vendor_id,category_code,kind,amount_minor FROM v_cashflow WHERE transaction_date >= '2026-07-01' AND transaction_date < '2026-08-01' AND kind='vendor_payment' ORDER BY transaction_id,kind",
G003,multi_turn,How much did that increase from July to August?,answer,SELECT SUM(CASE WHEN transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' THEN outflow_minor ELSE 0 END)-SUM(CASE WHEN transaction_date >= '2026-07-01' AND transaction_date < '2026-08-01' THEN outflow_minor ELSE 0 END) increase_minor FROM v_cashflow WHERE kind='vendor_payment',"[{""increase_minor"": -100542102}]","SELECT transaction_id,transaction_date,outflow_minor FROM v_cashflow WHERE kind='vendor_payment' AND transaction_date>='2026-07-01' AND transaction_date<'2026-09-01'",
G004,spend,What was gross debit outflow in August?,answer,"SELECT COUNT(DISTINCT transaction_id) transaction_count,COALESCE(SUM(outflow_minor),0) amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND amount_minor<0","[{""transaction_count"": 417, ""amount_minor"": 7569778485}]","SELECT transaction_id,vendor_id,category_code,kind,amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND amount_minor<0 ORDER BY transaction_id,kind",
G005,spend,What was credit inflow in August?,answer,"SELECT COUNT(DISTINCT transaction_id) transaction_count,COALESCE(SUM(inflow_minor),0) amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND amount_minor>0","[{""transaction_count"": 263, ""amount_minor"": 4566647586}]","SELECT transaction_id,vendor_id,category_code,kind,amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND amount_minor>0 ORDER BY transaction_id,kind",
G006,spend,What was net cash movement in August?,answer,"SELECT COUNT(DISTINCT transaction_id) transaction_count,COALESCE(SUM(amount_minor),0) amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01'","[{""transaction_count"": 680, ""amount_minor"": -3003130899}]","SELECT transaction_id,vendor_id,category_code,kind,amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' ORDER BY transaction_id,kind",
G007,spend,What was net vendor cash spend in August?,answer,"SELECT COUNT(DISTINCT transaction_id) transaction_count,COALESCE(SUM(-amount_minor),0) amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind IN ('vendor_payment','vendor_refund')","[{""transaction_count"": 41, ""amount_minor"": 477588904}]","SELECT transaction_id,vendor_id,category_code,kind,amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind IN ('vendor_payment','vendor_refund') ORDER BY transaction_id,kind",
G008,spend,What were August bank fees?,answer,"SELECT COUNT(DISTINCT transaction_id) transaction_count,COALESCE(SUM(outflow_minor),0) amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='bank_fee'","[{""transaction_count"": 1, ""amount_minor"": 10000}]","SELECT transaction_id,vendor_id,category_code,kind,amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='bank_fee' ORDER BY transaction_id,kind",
G009,spend,How much unclassified debit outflow remains in August?,answer,"SELECT COUNT(DISTINCT transaction_id) transaction_count,COALESCE(SUM(outflow_minor),0) amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='unclassified' AND amount_minor<0","[{""transaction_count"": 377, ""amount_minor"": 7090909581}]","SELECT transaction_id,vendor_id,category_code,kind,amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='unclassified' AND amount_minor<0 ORDER BY transaction_id,kind",
G010,spend,What was August vendor outflow in category SUP?,answer,"SELECT COUNT(DISTINCT transaction_id) transaction_count,COALESCE(SUM(outflow_minor),0) amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='vendor_payment' AND category_code='SUP'","[{""transaction_count"": 17, ""amount_minor"": 372143654}]","SELECT transaction_id,vendor_id,category_code,kind,amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='vendor_payment' AND category_code='SUP' ORDER BY transaction_id,kind",
G011,spend,What was August vendor outflow in category TECH?,answer,"SELECT COUNT(DISTINCT transaction_id) transaction_count,COALESCE(SUM(outflow_minor),0) amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='vendor_payment' AND category_code='TECH'","[{""transaction_count"": 4, ""amount_minor"": 11905620}]","SELECT transaction_id,vendor_id,category_code,kind,amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='vendor_payment' AND category_code='TECH' ORDER BY transaction_id,kind",
G012,spend,What was August vendor outflow in category LOG?,answer,"SELECT COUNT(DISTINCT transaction_id) transaction_count,COALESCE(SUM(outflow_minor),0) amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='vendor_payment' AND category_code='LOG'","[{""transaction_count"": 5, ""amount_minor"": 36515849}]","SELECT transaction_id,vendor_id,category_code,kind,amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='vendor_payment' AND category_code='LOG' ORDER BY transaction_id,kind",
