transaction_id,transaction_date,outflow_minor
db157ca9-9f30-4189-b301-3a587b9669d0,2026-07-01,10969996
f4259c18-b2f5-5419-ad30-90b3e88e8a8b,2026-07-04,100000
c4e375d7-5461-4fb3-9f6a-84f7c191bd80,2026-07-05,1280982
20c80222-cf11-49d4-9e2f-1f2c49fc4f11,2026-07-05,4268940
446480be-8f93-47f8-af54-4cbc616c6b3a,2026-07-06,35840294
d6b016e0-e76e-4b13-ac1f-689bd4a7efd9,2026-07-07,88568104
c065089c-6898-4044-ae90-89916bb2c7e2,2026-07-08,4497562
2504e461-b77c-5f41-be25-4aa89213b612,2026-07-08,100000
ea1be4fc-8685-4e36-ab22-4e46a4913222,2026-07-09,647818
e57a5d27-d80e-49cb-8e8c-0ebaee5b509c,2026-07-11,3056234
626222d8-79c9-5acf-9503-a00b551f1a9c,2026-07-12,100000
4d996177-b248-4915-a226-7c77bf90b457,2026-07-13,6706459
423b89ac-c2e0-5105-8372-2708ee4c21f6,2026-07-15,750000
e2857c52-b027-5a89-91a1-6b4eab59cd15,2026-07-16,100000
b6b67fe7-9140-4d94-9372-8bf150ac307c,2026-07-17,2615423
5228ce90-be58-4734-9899-d5bac31ce6ff,2026-07-18,3178838
28820224-53e9-4088-9850-bd6d5f32d2d6,2026-07-19,2863613
fd33d70f-b726-552b-9a95-7c5b4b050e9f,2026-07-20,100000
d70c1dd6-0950-438d-97c5-8563dfd2221f,2026-07-21,1082142
e6be9bcd-96b3-4f99-9044-0d1b95e117d0,2026-07-22,4103583
9c46a1fa-5c1a-4094-a6a6-d190e0e6d86e,2026-07-23,1528576
94be783a-cd0a-4444-a2cf-7edc2007dac0,2026-07-24,2158646
005939f9-1b27-56e8-956c-72a7d9c4c36e,2026-07-24,100000
280346e1-6c21-41a0-abfc-48c474eeb779,2026-07-25,368605516
ccc4e1b9-883f-430b-b27b-2fcef7eaafe4,2026-07-25,3290053
61367437-946b-49e1-9e5c-77b43697b9b0,2026-07-26,29328847
dbb7d463-f57b-4fab-9f24-484e11cc0214,2026-07-31,2559380
de6ba5cf-5275-5a39-80b2-2a9d8c1101e7,2026-08-01,10000
3b731e3f-5faf-4c3f-8775-d8a99ebf3c6a,2026-08-04,4463413
dac59079-4035-49d8-a544-49b453599815,2026-08-05,449052
c2c14aea-5257-4b87-92ea-5ce38f1a493c,2026-08-06,91748
2a9d82c9-6c95-4c39-a4a0-2a136d71fcca,2026-08-06,4766621
9a27e7b5-1cf3-5a58-8079-fec1365271d8,2026-08-15,1000000
8271b49a-a81c-5f18-8289-d58fdf76764e,2026-08-15,5000000
83818844-2d82-5dd9-9ad3-35628b6a2d5b,2026-08-15,5000001
66653666-346f-5a97-a679-6f8028a3e939,2026-08-15,101
96a2475e-7b55-5a24-9430-1102da7172f3,2026-08-15,45000
090d63e8-2228-5b81-a9f0-efbf67f56428,2026-08-15,150000
c3c30eb4-4282-51c5-b831-c766a537c378,2026-08-15,400000
237a51dd-026d-5ef4-b4da-89aec0bf5891,2026-08-15,400000
94d174a8-a215-5e4e-8b57-0db716bf3470,2026-08-15,600000
871e44a9-090b-5889-a8b2-945d7832e79c,2026-08-15,1000000
129e5a23-d8aa-51ec-9ab9-abf22e19d8e6,2026-08-15,400000
61b58652-d27f-5695-9b11-5c0e9649303f,2026-08-15,600000
c618cf86-6d9c-5567-8146-462784d1c6cc,2026-08-15,1000000
5eea1f24-4538-548a-960f-5b60049822a6,2026-08-15,990000
ac34a0ed-c0d5-5798-b9f1-21f85f5402e7,2026-08-15,230000
de2ddf15-a3c5-5119-802d-ccdf7644ce91,2026-08-15,120000
86555dea-681b-5b03-be6b-e1d064618a13,2026-08-15,120000
ec28503b-e03f-570e-aa5f-e20508390a7d,2026-08-15,550000
3858020e-5fe3-5ea7-ac88-fee402fd0b2d,2026-08-15,320000
5ab13807-fcbc-580e-97b3-4e2a7dc7d12f,2026-08-15,200000
b3431bbd-2076-487d-bd50-6ede6bf12769,2026-08-16,315371489
532e567b-2411-4a97-8205-890792b8211c,2026-08-19,23986401
9f061afc-d162-43b4-a612-519c0c8ee9d7,2026-08-21,4138028
9a10db39-826c-4616-9ebf-e2ce215c3dc0,2026-08-21,4438999
e41439a2-df9e-4f55-b739-cffe53d972b3,2026-08-21,2189214
f118b444-6fab-4bd3-8085-39c3a0b4aeb4,2026-08-23,11379448
4cc2263a-6acd-46e2-904e-3fee216da8fc,2026-08-23,403544
8b60c6a6-1f81-4d94-8549-e1d54dbf3934,2026-08-25,1954755
86bba9e3-8c33-567f-a756-968088746855,2026-08-25,2500000
4f4a4528-cebd-417a-b174-859efb195734,2026-08-28,3607026
a22f9693-2129-4a27-9ff7-d8566d25022b,2026-08-29,40423804
faf009dd-d0c1-40ce-a97c-de8021987fcc,2026-08-30,37720106
0944fe54-9a05-4cff-857b-5c26e433e041,2026-08-31,1920154
0b87dbfc-ac1b-5cf0-bdb5-ef31bc93a174,2026-08-31,20000
