transaction_id,vendor_id,category_code,kind,amount_minor
0044b3c0-25e0-4c3e-89fe-0913d3b87154,,UNCLASS,unclassified,-927481
01570e24-e5f2-4699-92c6-f3ec870ea063,,UNCLASS,unclassified,-1946863
015f883f-ce3e-4357-b201-7da255702e42,,UNCLASS,unclassified,-410091
01ad7a75-f6ef-454c-ae6e-b5565063ae97,,UNCLASS,unclassified,-728927
01f90e53-d245-4e92-838d-6f6f137b313e,,UNCLASS,unclassified,-30927726
034f4280-5a1b-4c1f-83ef-5ae5e41ba174,,UNCLASS,unclassified,-1438889
03ad9619-728b-4c3a-9032-07fed21fb79f,,UNCLASS,unclassified,-2245126
04686cdf-58e9-47ac-9ca2-8e3d7597e66c,,UNCLASS,unclassified,-41191790
05965bc4-01ae-4332-93aa-0c57423fcb67,,UNCLASS,unclassified,-1677241
06618d67-e064-416a-bfc2-1b3c8a9215b2,,UNCLASS,unclassified,-1784016
072cf6bc-f75b-46d8-8f2f-bcefbaa8d346,,UNCLASS,unclassified,-2770310
07c5a616-8873-41da-bd01-962cf198e03f,,UNCLASS,unclassified,-33626194
080a4cda-5c04-4690-87f3-f4123c09d590,,UNCLASS,unclassified,-37456091
090d63e8-2228-5b81-a9f0-efbf67f56428,8463a659-7733-5594-8590-3d7cd66a5c08,LOG,vendor_payment,-150000
0944fe54-9a05-4cff-857b-5c26e433e041,bd8e03c0-b540-5225-85ee-86af7c924b1d,SERV,vendor_payment,-1920154
0a377971-46ff-46f0-bc72-b3697a5ba095,,UNCLASS,unclassified,-3896024
0b418b0e-fe1c-469d-812e-d3e8a99e2ba2,,UNCLASS,unclassified,-1359154
0b87dbfc-ac1b-5cf0-bdb5-ef31bc93a174,f22c83a8-9d83-5529-a9b5-56b892019de1,SUP,vendor_payment,-20000
0bba6692-5f84-49fa-ad1f-de4deae248cb,,UNCLASS,unclassified,-2348824
0c25726a-8535-4582-ac88-06eae07e8d4d,,UNCLASS,unclassified,-1160830
0d045a1c-0dc0-4f76-bad9-88278800a060,,UNCLASS,unclassified,-562908
0d04ec18-5e91-4dbb-9bbe-5482b40e9390,,UNCLASS,unclassified,-2080139
0db67d98-5aa3-47e3-91be-3f6c576ca429,,UNCLASS,unclassified,-1205621
0e637ec2-7dbb-405d-be67-bbed65e62923,,UNCLASS,unclassified,-26273703
0f822425-5dc1-4fac-9a76-9fa73d7f4671,,UNCLASS,unclassified,-24578618
10368907-3fb5-4878-9761-8dfc692944c7,,UNCLASS,unclassified,-14371971
116b62b6-736e-43ef-bf4b-d7684a81bf53,,UNCLASS,unclassified,-1860307
12150071-20f5-4beb-a233-4a4dcc7b0d46,,UNCLASS,unclassified,-4138041
126869e7-af40-49f2-869f-83d709a0bdbd,,UNCLASS,unclassified,-1866540
129e5a23-d8aa-51ec-9ab9-abf22e19d8e6,8463a659-7733-5594-8590-3d7cd66a5c08,LOG,vendor_payment,-400000
12a8ff4e-5cc4-463e-ac7a-8a50c2c4f3f9,,UNCLASS,unclassified,-22445323
1414d045-a499-47a6-a758-ac2992e6016c,,UNCLASS,unclassified,-49333265
176f5d19-ef61-4fb4-9280-a79f90a9ad8b,,UNCLASS,unclassified,-3989785
18dc6490-0681-432c-b982-c56d9c46aecc,,UNCLASS,unclassified,-225926
19cf6a07-3eab-41e2-82ff-472f28c7ed05,,UNCLASS,unclassified,-10617656
1bd19b23-87ae-435b-ac26-1710047e9b35,,UNCLASS,unclassified,-2126391
1bf5cd52-b072-4d24-91f8-25a145356a2d,,UNCLASS,unclassified,-2043383
1db7f185-3b98-4075-9444-957b8f450362,,UNCLASS,unclassified,-22051008
1e269e4f-1f3d-4e30-bad6-53bc12b23534,,UNCLASS,unclassified,-1351805
208966a4-436b-4b93-860f-fc718a26010c,,UNCLASS,unclassified,-38834790
210afdd9-6326-4628-9ccf-228c6b0fbe0e,,UNCLASS,unclassified,-444451787
21f9527a-f105-46f3-a64a-d34457e8a133,,UNCLASS,unclassified,-24874877
228bdcb9-0df4-4ef1-99d5-0e1a0fad6d96,,UNCLASS,unclassified,-4039187
22cd453c-3937-4681-b9dd-3993c9527bf9,,UNCLASS,unclassified,-34490552
22ee3b5c-3b37-4d23-b7aa-f28abc0a577c,,UNCLASS,unclassified,-21474434
237a51dd-026d-5ef4-b4da-89aec0bf5891,8f88c1b0-076b-5795-b71d-b486d2344bf6,SERV,vendor_payment,-400000
23dc01b4-9ba3-4858-9450-ad00eaa6c7eb,,UNCLASS,unclassified,-1393644
255b41b2-2122-41b2-8140-56ecc9535022,,UNCLASS,unclassified,-4931694
25bfe21b-0afa-453b-9063-98f19303e158,,UNCLASS,unclassified,-1950161
25e9722d-3244-47a2-a948-0d637471ffd1,,UNCLASS,unclassified,-28679974
263fd48f-7bae-4f6c-ad37-4b0d09ce4a2a,,UNCLASS,unclassified,-1194045
26ccd315-b587-4dce-9812-926ea97b7c72,,UNCLASS,unclassified,-3256042
2812bba2-6148-4c9e-ad22-581e89d4a848,,UNCLASS,unclassified,-2611617
28244ba9-54ca-48ac-b381-63babb0eab7d,,UNCLASS,unclassified,-22365903
28ac63c7-0732-4842-91b6-df5a88b0181e,,UNCLASS,unclassified,-1579397
28dceb4d-db63-4616-b34e-5c221d646420,,UNCLASS,unclassified,-550885
2a9d82c9-6c95-4c39-a4a0-2a136d71fcca,7e8cc9d9-297c-5a39-b67c-3aaddece50d4,TECH,vendor_payment,-4766621
2afb18c3-5cd9-4f31-955c-b5988458f92a,,UNCLASS,unclassified,-2882888
2c1826d0-bc75-4a10-af34-a657b7fc11e7,,UNCLASS,unclassified,-3622490
2c3294e9-f8cd-44d5-954c-e69fe954e77c,,UNCLASS,unclassified,-2299817
2d67e641-c78b-4fee-9cbe-b8f56294338d,,UNCLASS,unclassified,-47809603
2e47135e-7108-4096-b7c0-a91c6e272356,,UNCLASS,unclassified,-2905699
30d1acc1-d4ab-4a89-b4ec-ed163bf5679c,,UNCLASS,unclassified,-26438047
30e64863-f04c-4714-ac2d-253a6ec3eb5d,,UNCLASS,unclassified,-4569919
31862d62-a5b6-4ee5-9b10-b707551f16af,,UNCLASS,unclassified,-49059467
31dcc768-930a-4fca-858b-93a4040d041c,,UNCLASS,unclassified,-2153965
322ecac7-c60f-42f5-9f83-c59fec28a73c,,UNCLASS,unclassified,-3156554
32ec6f23-d717-4e24-bf61-51577d66fc82,,UNCLASS,unclassified,-251674
33c6f365-2eaf-4e02-9796-c2d6ca9430ca,,UNCLASS,unclassified,-4982253
36c37e61-64b0-4998-80f5-4531835aeade,,UNCLASS,unclassified,-47399
37ac17ea-fce3-460e-8c7e-9127360fd47c,,UNCLASS,unclassified,-3589722
3858020e-5fe3-5ea7-ac88-fee402fd0b2d,f22c83a8-9d83-5529-a9b5-56b892019de1,SUP,vendor_payment,-320000
391774b8-0156-454f-bfe7-0820f1212e09,,UNCLASS,unclassified,-2917837
392872ef-a846-49c1-b881-91517a121bdf,,UNCLASS,unclassified,-42510960
3947d7de-8ba2-4d29-8f88-2c4f13d2fb42,,UNCLASS,unclassified,-3374278
3a5750f6-c83f-47de-8681-be21dd99c0e8,,UNCLASS,unclassified,-1143699
3b731e3f-5faf-4c3f-8775-d8a99ebf3c6a,c212531e-e5ce-5540-b467-81a4b60e2fcb,SUP,vendor_payment,-4463413
3b84147f-40c4-4650-93f2-919cd2feaad7,,UNCLASS,unclassified,-29094000
3c0489f8-1421-423c-847c-67a532aed39d,,UNCLASS,unclassified,-45639455
3c54acf0-1324-4993-92b2-ecea3bc3315d,,UNCLASS,unclassified,-49300142
3f5d247d-a039-4e0e-9c6c-0c31a420620a,,UNCLASS,unclassified,-2401275
3f75a7f6-92a3-42cc-8cde-83afc015d0ce,,UNCLASS,unclassified,-3159116
3f9c4299-f40c-4799-a881-7ba8bb2ac028,,UNCLASS,unclassified,-9624146
401900fb-e6d9-4118-8f4d-d461dc095512,,UNCLASS,unclassified,-2606218
4199065e-19a6-4dcc-a044-034fb34cd335,,UNCLASS,unclassified,-549994
41f3f05c-0aa4-4478-b326-06cbc7690871,,UNCLASS,unclassified,-415044
41f905e8-8477-4b1a-b1b6-20039569a5b8,,UNCLASS,unclassified,-3598451
4239f4ee-2afc-4dd0-ac87-a4e6be7f6c08,,UNCLASS,unclassified,-1688349
43a9148b-096d-4b6f-b607-ad2989676c5d,,UNCLASS,unclassified,-204551
44585d48-34c1-48ef-aeba-ee8f846660ea,,UNCLASS,unclassified,-1344620
4458fe8f-7d56-4dcd-a848-553c3bc9ad00,,UNCLASS,unclassified,-1031267
44d54288-bd5f-4e31-93c3-1bbe6b10ed89,,UNCLASS,unclassified,-3060763
45967d2c-9332-448a-bfaa-e603f7201080,,UNCLASS,unclassified,-3138153
45afdda1-9109-43ad-a1e8-30ed80803f5d,,UNCLASS,unclassified,-4221343
462130cf-81a4-4213-a15e-27a597d247d2,,UNCLASS,unclassified,-1174457
46b1e5a8-bb14-4886-b4af-84ae90db6786,,UNCLASS,unclassified,-12500629
46f2cd0f-e255-4ba8-b543-d5ffcd28cc3d,,UNCLASS,unclassified,-3389181
47331efd-0290-492f-a0ec-9f0efad88c4c,,UNCLASS,unclassified,-11205116
478f6779-6ee7-4028-8470-c82d6de638cc,,UNCLASS,unclassified,-1112409
484fe247-a112-4ce6-bdf9-a10e78c44348,,UNCLASS,unclassified,-1248148
4a4032c8-8a16-4778-a7f3-63d441e1c343,,UNCLASS,unclassified,-1142628
4a4e8078-f02e-4438-b09b-1c31538fce1e,,UNCLASS,unclassified,-44229408
4ac12c7a-d2d3-4689-b93d-961e001568cc,,UNCLASS,unclassified,-40471701
4af5aa3c-6344-436c-b2dd-0a7de483af9b,,UNCLASS,unclassified,-19757715
4b19d452-26e1-4aa8-8292-18932bda9a2f,,UNCLASS,unclassified,-2521657
4bb33b0e-ecd1-456f-9b39-d8cddaeaf8ab,,UNCLASS,unclassified,-3438386
4c7235ca-5752-4d01-b394-2daf8244dd7f,,UNCLASS,unclassified,-4395149
4cc2263a-6acd-46e2-904e-3fee216da8fc,cb594e5f-b964-5154-b88d-6a5b35a1b057,SUP,vendor_payment,-403544
4cd38ec4-7a04-4d35-b6ae-75b63da19cea,,UNCLASS,unclassified,-1355582
4e27a9a7-8dab-49e5-9336-4d09ab2ef3fa,,UNCLASS,unclassified,-2215472
4e58ff7d-a385-4b55-8f0b-e15579ce67f0,,UNCLASS,unclassified,-4893358
4eb2f128-5e02-4af4-852f-0de91e6218a0,,UNCLASS,unclassified,-3809768
4f4a4528-cebd-417a-b174-859efb195734,9e31f002-04dc-576f-b04a-7810aab351aa,UTIL,vendor_payment,-3607026
4ff8824f-a37a-44aa-8c52-b52d665ccc24,,UNCLASS,unclassified,-4775612
500f8a0b-48d2-4602-9869-ee5872c1a457,,UNCLASS,unclassified,-2280609
50a9c408-3bd4-4ba5-b874-daa5bfba84cd,,UNCLASS,unclassified,-5181392
