transaction_id,category_code,outflow_minor
de6ba5cf-5275-5a39-80b2-2a9d8c1101e7,SUP,10000
3b731e3f-5faf-4c3f-8775-d8a99ebf3c6a,SUP,4463413
dac59079-4035-49d8-a544-49b453599815,SERV,449052
c2c14aea-5257-4b87-92ea-5ce38f1a493c,UTIL,91748
2a9d82c9-6c95-4c39-a4a0-2a136d71fcca,TECH,4766621
9a27e7b5-1cf3-5a58-8079-fec1365271d8,SUP,1000000
8271b49a-a81c-5f18-8289-d58fdf76764e,SUP,5000000
83818844-2d82-5dd9-9ad3-35628b6a2d5b,SUP,5000001
66653666-346f-5a97-a679-6f8028a3e939,SUP,101
96a2475e-7b55-5a24-9430-1102da7172f3,SUP,45000
090d63e8-2228-5b81-a9f0-efbf67f56428,LOG,150000
c3c30eb4-4282-51c5-b831-c766a537c378,SERV,400000
237a51dd-026d-5ef4-b4da-89aec0bf5891,SERV,400000
94d174a8-a215-5e4e-8b57-0db716bf3470,SERV,600000
871e44a9-090b-5889-a8b2-945d7832e79c,SUP,1000000
129e5a23-d8aa-51ec-9ab9-abf22e19d8e6,LOG,400000
61b58652-d27f-5695-9b11-5c0e9649303f,LOG,600000
c618cf86-6d9c-5567-8146-462784d1c6cc,SUP,1000000
5eea1f24-4538-548a-960f-5b60049822a6,SERV,990000
ac34a0ed-c0d5-5798-b9f1-21f85f5402e7,UTIL,230000
de2ddf15-a3c5-5119-802d-ccdf7644ce91,SUP,120000
86555dea-681b-5b03-be6b-e1d064618a13,SUP,120000
ec28503b-e03f-570e-aa5f-e20508390a7d,SUP,550000
3858020e-5fe3-5ea7-ac88-fee402fd0b2d,SUP,320000
5ab13807-fcbc-580e-97b3-4e2a7dc7d12f,TECH,200000
b3431bbd-2076-487d-bd50-6ede6bf12769,SUP,315371489
532e567b-2411-4a97-8205-890792b8211c,LOG,23986401
9f061afc-d162-43b4-a612-519c0c8ee9d7,UTIL,4138028
9a10db39-826c-4616-9ebf-e2ce215c3dc0,TECH,4438999
e41439a2-df9e-4f55-b739-cffe53d972b3,UTIL,2189214
f118b444-6fab-4bd3-8085-39c3a0b4aeb4,LOG,11379448
4cc2263a-6acd-46e2-904e-3fee216da8fc,SUP,403544
8b60c6a6-1f81-4d94-8549-e1d54dbf3934,UTIL,1954755
86bba9e3-8c33-567f-a756-968088746855,TECH,2500000
4f4a4528-cebd-417a-b174-859efb195734,UTIL,3607026
a22f9693-2129-4a27-9ff7-d8566d25022b,SERV,40423804
faf009dd-d0c1-40ce-a97c-de8021987fcc,SUP,37720106
0944fe54-9a05-4cff-857b-5c26e433e041,SERV,1920154
0b87dbfc-ac1b-5cf0-bdb5-ef31bc93a174,SUP,20000
