payout_id,vendor_id,requested_date,settled_date,amount_minor
PAY-BATCH-1,f22c83a8-9d83-5529-a9b5-56b892019de1,2026-08-15,2026-08-15,300000
PAY-BATCH-2,f22c83a8-9d83-5529-a9b5-56b892019de1,2026-08-15,2026-08-15,700000
PAY-CLOUD-HISTORY-1,5d74c914-28b2-5787-aa3b-55eaff8775e6,2026-07-04,2026-07-04,100000
PAY-CLOUD-HISTORY-2,5d74c914-28b2-5787-aa3b-55eaff8775e6,2026-07-08,2026-07-08,100000
PAY-CLOUD-HISTORY-3,5d74c914-28b2-5787-aa3b-55eaff8775e6,2026-07-12,2026-07-12,100000
PAY-CLOUD-HISTORY-4,5d74c914-28b2-5787-aa3b-55eaff8775e6,2026-07-16,2026-07-16,100000
PAY-CLOUD-HISTORY-5,5d74c914-28b2-5787-aa3b-55eaff8775e6,2026-07-20,2026-07-20,100000
PAY-CLOUD-HISTORY-6,5d74c914-28b2-5787-aa3b-55eaff8775e6,2026-07-24,2026-07-24,100000
PAY-CLOUD-OUTLIER,5d74c914-28b2-5787-aa3b-55eaff8775e6,2026-08-25,2026-08-25,2500000
PAY-DUPLICATE,f22c83a8-9d83-5529-a9b5-56b892019de1,2026-08-15,2026-08-15,120000
PAY-EXACT,f22c83a8-9d83-5529-a9b5-56b892019de1,2026-08-15,2026-08-15,1000000
PAY-FEE,f22c83a8-9d83-5529-a9b5-56b892019de1,2026-08-15,2026-08-15,1000000
PAY-FIRST-DAY,f22c83a8-9d83-5529-a9b5-56b892019de1,2026-08-01,2026-08-01,10000
PAY-INSTALLMENT-1,8f88c1b0-076b-5795-b71d-b486d2344bf6,2026-08-15,2026-08-15,400000
PAY-INSTALLMENT-2,8f88c1b0-076b-5795-b71d-b486d2344bf6,2026-08-15,2026-08-15,600000
PAY-JULY,f22c83a8-9d83-5529-a9b5-56b892019de1,2026-07-15,2026-07-15,750000
PAY-LAST-DAY,f22c83a8-9d83-5529-a9b5-56b892019de1,2026-08-31,2026-08-31,20000
PAY-LEGACY-0000,37fa3390-3c13-5b9d-91da-fd76fbb1f631,2025-01-10,2025-01-10,1228076
PAY-LEGACY-0001,bdfdbeed-dd68-51d8-81d7-883bde84ff57,2025-04-25,2025-04-25,3383498
PAY-LEGACY-0002,63d87a3d-61d1-5896-8685-ef82e2d0ff0c,2024-12-27,2024-12-27,1129332
PAY-LEGACY-0003,3045c937-d3d2-5d34-a1f6-1f3f4fd0a24c,2025-06-27,2025-06-27,42277702
PAY-LEGACY-0004,56f84b4c-e039-5f72-b3f7-41684d1e212a,2024-06-12,2024-06-12,262972
PAY-LEGACY-0005,6890ddec-c75c-5441-980b-5b0c7953a44c,2024-07-22,2024-07-22,2768795
PAY-LEGACY-0006,3456c0ef-54d0-5186-a3e4-ac20cf27a837,2026-05-16,2026-05-16,3935626
PAY-LEGACY-0007,c3c5af65-7bf1-5c62-9203-67d442c402f8,2025-07-20,2025-07-20,611289
PAY-LEGACY-0008,8eeb06f6-ac4a-502a-82ae-d92769fe3b88,2025-10-23,2025-10-23,3351493
PAY-LEGACY-0009,a0cf0f9f-64ca-5726-876b-4361d6b3ae3c,2024-07-02,2024-07-02,1558145
PAY-LEGACY-0010,f4429e57-7327-591d-a6e0-daa2dc7243ea,2025-11-23,2025-11-23,3792502
PAY-LEGACY-0011,5243a818-9d8e-5646-b3d1-2471cba98005,2025-07-02,2025-07-02,49886607
PAY-LEGACY-0012,bdfdbeed-dd68-51d8-81d7-883bde84ff57,2024-01-16,2024-01-16,3538184
PAY-LEGACY-0013,3c63875d-003b-5dad-a224-5ee021b53f6f,2025-03-09,2025-03-09,7976951
PAY-LEGACY-0014,3fd4db81-0f08-5859-90bd-ea8a08d9860a,2025-01-27,2025-01-27,3392034
PAY-LEGACY-0015,e4ae775b-af33-58eb-b006-541d8689a783,2026-05-06,2026-05-06,2162701
PAY-LEGACY-0016,2944fa7a-c322-53a9-ba46-4cb8c85c8d15,2026-02-05,2026-02-05,922768
PAY-LEGACY-0017,c1b1e75d-131d-5e69-86c5-c0c12e77406d,2025-08-21,2025-08-21,3357623
PAY-LEGACY-0018,54e16296-56ab-5e7f-9589-3ef42a534f10,2024-08-19,2024-08-19,434460
PAY-LEGACY-0019,bd8e03c0-b540-5225-85ee-86af7c924b1d,2026-08-31,2026-08-31,1920154
PAY-LEGACY-0020,062191ca-fb59-5745-8ad0-f4e1b0f0614e,2025-04-10,2025-04-10,4970182
PAY-LEGACY-0021,f4850a20-7781-56a4-ba35-69ed5bf54617,2025-08-21,2025-08-21,1406322
PAY-LEGACY-0022,435d18e8-7999-5cc3-9c2c-91f54578b5fc,2025-02-03,2025-02-03,4222435
PAY-LEGACY-0023,d0ea87f6-fd2c-5100-ad10-ec07ea13effe,2026-02-15,2026-02-15,737293
PAY-LEGACY-0024,56f84b4c-e039-5f72-b3f7-41684d1e212a,2025-01-01,2025-01-01,1240402
PAY-LEGACY-0025,3fd4db81-0f08-5859-90bd-ea8a08d9860a,2025-06-24,2025-06-24,527188
PAY-LEGACY-0026,7e8cc9d9-297c-5a39-b67c-3aaddece50d4,2024-07-07,2024-07-07,4655459
PAY-LEGACY-0027,19581aae-06ea-5c39-9399-25aef009de24,2024-02-18,2024-02-18,857059
PAY-LEGACY-0028,e64b0d81-2f42-5b01-8b7f-21aaf64f8ba4,2024-06-05,2024-06-05,30113683
PAY-LEGACY-0029,a37e9aba-5d93-5861-966e-d1a0276f97c2,2025-06-03,2025-06-03,420891
PAY-LEGACY-0030,a39f87b4-af54-56c4-9630-3a77a007a20e,2025-10-05,2025-10-05,39226797
PAY-LEGACY-0031,807ea2e2-6f6f-5cab-9638-b69db7d91d38,2024-01-23,2024-01-23,2106327
PAY-LEGACY-0032,6db5f047-b1cb-55f3-a343-da35c9d44f09,2025-12-28,2025-12-28,10995017
PAY-LEGACY-0033,c3c5af65-7bf1-5c62-9203-67d442c402f8,2026-02-07,2026-02-07,1828005
PAY-LEGACY-0034,79bc5040-2780-5da3-a308-c4a1b6ca2007,2024-03-07,2024-03-07,284947623
PAY-LEGACY-0035,a37e9aba-5d93-5861-966e-d1a0276f97c2,2024-09-14,2024-09-14,2310246
PAY-LEGACY-0036,37164bdb-4512-552f-8f5e-9f176f3fd5bb,2026-04-22,2026-04-22,42736831
PAY-LEGACY-0037,c3ee90ed-404d-5b52-9dc6-1da94d6809b4,2026-06-08,2026-06-08,20743512
PAY-LEGACY-0038,f4850a20-7781-56a4-ba35-69ed5bf54617,2026-02-16,2026-02-16,4150065
PAY-LEGACY-0039,252d221d-75f9-503d-a310-5720c7e3f003,2024-04-24,2024-04-24,1966502
PAY-LEGACY-0040,fc52ab5c-f5e8-52a1-b41d-42d60b68168f,2024-10-31,2024-10-31,47165231
PAY-LEGACY-0041,f4429e57-7327-591d-a6e0-daa2dc7243ea,2025-05-19,2025-05-19,3144303
PAY-LEGACY-0042,cf12fc5b-6cbd-5c4d-a645-d8cb8ffc3364,2025-02-20,2025-02-20,1311827
PAY-LEGACY-0043,fc52ab5c-f5e8-52a1-b41d-42d60b68168f,2025-03-03,2025-03-03,1143061
PAY-LEGACY-0044,b27be532-f849-53e0-b298-6c23a1f29e92,2025-10-29,2025-10-29,3856371
PAY-LEGACY-0045,64434ad1-9b52-5ac5-91f3-64bb3637d70f,2024-09-02,2024-09-02,4176687
