payout_id,vendor_id,amount_minor
PAY-LEGACY-0019,bd8e03c0-b540-5225-85ee-86af7c924b1d,1920154
PAY-LEGACY-0084,7e8cc9d9-297c-5a39-b67c-3aaddece50d4,4766621
PAY-LEGACY-0115,c212531e-e5ce-5540-b467-81a4b60e2fcb,4463413
PAY-LEGACY-0149,cb594e5f-b964-5154-b88d-6a5b35a1b057,403544
PAY-LEGACY-0154,9e31f002-04dc-576f-b04a-7810aab351aa,3607026
PAY-LEGACY-0162,3fe36217-513d-5d1e-a370-87ca79cb7dc7,23986401
PAY-LEGACY-0272,8c44d008-53f7-596a-b199-37f3269feea3,1954755
PAY-LEGACY-0299,54719001-fd55-5f9d-8b4e-887178dd2f03,4438999
PAY-LEGACY-0308,6162fefd-5e2c-5b46-9196-19877bc1dc92,4138028
PAY-LEGACY-0315,b7246714-7696-5218-97d3-ec9f16a96d23,40423804
PAY-LEGACY-0349,43a483cc-a5dc-51c4-89ab-f35c67bf04ab,315371489
PAY-LEGACY-0379,7d9808dd-3821-5fb9-b119-a0bd774ca03c,91748
PAY-LEGACY-0427,b27be532-f849-53e0-b298-6c23a1f29e92,449052
PAY-LEGACY-0445,8c44d008-53f7-596a-b199-37f3269feea3,2189214
PAY-LEGACY-0472,2ddcf1b8-1753-56b3-a60a-27ba9b9a0c8b,11379448
PAY-LEGACY-0490,f22ef9ca-1db5-5774-bbe8-bbc1a30be2dd,37720106
PAY-EXACT,f22c83a8-9d83-5529-a9b5-56b892019de1,1000000
PAY-FIRST-DAY,f22c83a8-9d83-5529-a9b5-56b892019de1,10000
PAY-LAST-DAY,f22c83a8-9d83-5529-a9b5-56b892019de1,20000
PAY-THRESHOLD-EQUAL,f22c83a8-9d83-5529-a9b5-56b892019de1,5000000
PAY-THRESHOLD-ABOVE,f22c83a8-9d83-5529-a9b5-56b892019de1,5000001
PAY-PAISE,f22c83a8-9d83-5529-a9b5-56b892019de1,101
PAY-MISSING-REF,f22c83a8-9d83-5529-a9b5-56b892019de1,45000
PAY-RETRY,8463a659-7733-5594-8590-3d7cd66a5c08,150000
PAY-PARTIAL,8f88c1b0-076b-5795-b71d-b486d2344bf6,400000
PAY-INSTALLMENT-1,8f88c1b0-076b-5795-b71d-b486d2344bf6,400000
PAY-INSTALLMENT-2,8f88c1b0-076b-5795-b71d-b486d2344bf6,600000
PAY-BATCH-1,f22c83a8-9d83-5529-a9b5-56b892019de1,300000
PAY-BATCH-2,f22c83a8-9d83-5529-a9b5-56b892019de1,700000
PAY-SPLIT,8463a659-7733-5594-8590-3d7cd66a5c08,1000000
PAY-FEE,f22c83a8-9d83-5529-a9b5-56b892019de1,1000000
PAY-MISMATCH,8f88c1b0-076b-5795-b71d-b486d2344bf6,1000000
PAY-MISSING-BANK,8f88c1b0-076b-5795-b71d-b486d2344bf6,170000
PAY-DUPLICATE,f22c83a8-9d83-5529-a9b5-56b892019de1,120000
PAY-REFUND,5d74c914-28b2-5787-aa3b-55eaff8775e6,200000
PAY-CLOUD-OUTLIER,5d74c914-28b2-5787-aa3b-55eaff8775e6,2500000
