transaction_id,case_id,reconciliation_status
0003f833-87ad-4a60-8b81-403e3f181794,REC-LEGACY-0000,reconciled
006fc029-d2b8-422a-a8bf-2348fec828b2,REC-LEGACY-0001,reconciled
018746b9-a3a2-4819-8601-b55c15e143e4,REC-LEGACY-0003,reconciled
01fc9b43-2b5c-495d-8923-3f669a3494dc,REC-LEGACY-0004,reconciled
04e1ec7f-d12c-4505-abec-d52459e1aac9,REC-LEGACY-0010,reconciled
06506558-2f08-40fd-a904-927e455e1e3f,REC-LEGACY-0013,reconciled
0944fe54-9a05-4cff-857b-5c26e433e041,REC-LEGACY-0019,reconciled
09df2a1d-50e7-42a8-a7eb-5831dc74557f,REC-LEGACY-0020,reconciled
0adca052-da70-4472-ac53-018d005f5ecf,REC-LEGACY-0022,reconciled
0c489540-e410-47a7-91e5-fbb3f5be665f,REC-LEGACY-0025,reconciled
0dbd0ce3-f9d5-41d6-bbc4-c4174e940c4a,REC-LEGACY-0028,reconciled
0e156fa4-6bbc-4b32-8c28-f95d20ac43e3,REC-LEGACY-0029,reconciled
0f027711-c07a-400d-b820-55024e580df0,REC-LEGACY-0031,reconciled
0fa3c989-d1f5-4fb3-bc07-0cdfb70b5285,REC-LEGACY-0032,reconciled
102c99ac-f242-49ff-8d29-6ce9fee80281,REC-LEGACY-0033,reconciled
125f1be8-c956-4454-b48f-4e5cd1dc2128,REC-LEGACY-0037,reconciled
12e91484-73d0-4fab-9e45-6506a5275c2a,REC-LEGACY-0038,reconciled
164ba04d-fa4d-4c1d-8413-9b51c38ba4e4,REC-LEGACY-0045,reconciled
16c42890-f93c-4f24-be44-c3b668d3632e,REC-LEGACY-0046,reconciled
181c0b54-8cc1-4125-ba6c-e70db93864a2,REC-LEGACY-0048,reconciled
1da24936-d420-4a1e-8629-f66c8923c75b,REC-LEGACY-0058,reconciled
22847670-c242-4d0d-bb4a-edf1b8d43dac,REC-LEGACY-0067,reconciled
22cd3d9b-c645-4f0c-a413-28e361a872a4,REC-LEGACY-0068,reconciled
23e12739-ec7e-4853-b7ae-fd05f5b1e933,REC-LEGACY-0070,reconciled
246d8afc-5e89-4d0d-92c7-7dd718ace951,REC-LEGACY-0071,reconciled
2760ccaa-da31-499c-82e7-93bbb4016e9e,REC-LEGACY-0078,reconciled
28820224-53e9-4088-9850-bd6d5f32d2d6,REC-LEGACY-0080,reconciled
28e81cde-fc32-413c-b928-96fdb49d14a3,REC-LEGACY-0081,reconciled
2afc1bf1-c587-4513-9c13-153e41f84f71,REC-LEGACY-0085,reconciled
2d96289b-c769-4ca5-8e53-eb7d3625bb5b,REC-LEGACY-0090,reconciled
2dfa5489-c3af-4bc0-9fe0-4be899b84c53,REC-LEGACY-0091,reconciled
322c5421-57f7-4074-83dd-3472a7d39c2f,REC-LEGACY-0099,reconciled
