transaction_id,reference_id,case_id
0003f833-87ad-4a60-8b81-403e3f181794,U6533138,REC-LEGACY-0000
006fc029-d2b8-422a-a8bf-2348fec828b2,U7855872,REC-LEGACY-0001
018746b9-a3a2-4819-8601-b55c15e143e4,S9150666,REC-LEGACY-0003
01fc9b43-2b5c-495d-8923-3f669a3494dc,I1875363,REC-LEGACY-0004
04e1ec7f-d12c-4505-abec-d52459e1aac9,U9887729,REC-LEGACY-0010
06506558-2f08-40fd-a904-927e455e1e3f,R8377807,REC-LEGACY-0013
0944fe54-9a05-4cff-857b-5c26e433e041,U8255707,REC-LEGACY-0019
09df2a1d-50e7-42a8-a7eb-5831dc74557f,R8887200,REC-LEGACY-0020
0adca052-da70-4472-ac53-018d005f5ecf,R6006216,REC-LEGACY-0022
0c489540-e410-47a7-91e5-fbb3f5be665f,I7450053,REC-LEGACY-0025
0dbd0ce3-f9d5-41d6-bbc4-c4174e940c4a,,REC-LEGACY-0028
0e156fa4-6bbc-4b32-8c28-f95d20ac43e3,,REC-LEGACY-0029
0f027711-c07a-400d-b820-55024e580df0,I7827020,REC-LEGACY-0031
0fa3c989-d1f5-4fb3-bc07-0cdfb70b5285,R5977921,REC-LEGACY-0032
102c99ac-f242-49ff-8d29-6ce9fee80281,I2784599,REC-LEGACY-0033
125f1be8-c956-4454-b48f-4e5cd1dc2128,I2056630,REC-LEGACY-0037
12e91484-73d0-4fab-9e45-6506a5275c2a,R7468961,REC-LEGACY-0038
164ba04d-fa4d-4c1d-8413-9b51c38ba4e4,I3060078,REC-LEGACY-0045
16c42890-f93c-4f24-be44-c3b668d3632e,R7429879,REC-LEGACY-0046
181c0b54-8cc1-4125-ba6c-e70db93864a2,S4587887,REC-LEGACY-0048
1da24936-d420-4a1e-8629-f66c8923c75b,R4331406,REC-LEGACY-0058
22847670-c242-4d0d-bb4a-edf1b8d43dac,I8779612,REC-LEGACY-0067
22cd3d9b-c645-4f0c-a413-28e361a872a4,R1308323,REC-LEGACY-0068
23e12739-ec7e-4853-b7ae-fd05f5b1e933,T2781743,REC-LEGACY-0070
246d8afc-5e89-4d0d-92c7-7dd718ace951,I8860387,REC-LEGACY-0071
2760ccaa-da31-499c-82e7-93bbb4016e9e,N2942846,REC-LEGACY-0078
28820224-53e9-4088-9850-bd6d5f32d2d6,I6471882,REC-LEGACY-0080
28e81cde-fc32-413c-b928-96fdb49d14a3,,REC-LEGACY-0081
2afc1bf1-c587-4513-9c13-153e41f84f71,S1975480,REC-LEGACY-0085
2d96289b-c769-4ca5-8e53-eb7d3625bb5b,S8719834,REC-LEGACY-0090
2dfa5489-c3af-4bc0-9fe0-4be899b84c53,S4563217,REC-LEGACY-0091
322c5421-57f7-4074-83dd-3472a7d39c2f,N1103770,REC-LEGACY-0099
32f93e8f-befd-4a2a-8569-de09043a34ea,U9683004,REC-LEGACY-0101
389afe0a-66a7-4a8a-897e-ccd238bf3e38,R4011912,REC-LEGACY-0110
3932316b-19d0-4ddf-a68c-37eb4d745e53,S4245931,REC-LEGACY-0111
39aaaf1d-3a24-4b9c-99e9-0b02ee07d1b7,I3617000,REC-LEGACY-0112
3bdd28e6-d41e-4f25-a410-c033c4cb3c1c,I5962150,REC-LEGACY-0116
3cd4cf1b-60da-49a9-abbd-bd3cf1aa9a42,T7543481,REC-LEGACY-0118
3e769297-8038-4ad1-b43c-bb2cab311bb5,U4220444,REC-LEGACY-0121
4016411d-1e98-4be1-83fd-060fe92aefc1,U9581018,REC-LEGACY-0124
4078a47a-5db8-40f5-8699-c47916f6a068,N8981960,REC-LEGACY-0125
40e4b7d1-a764-431b-a614-f7073656c9a2,R2554748,REC-LEGACY-0126
44fbf3e0-91ea-46b3-b957-a12f665ee491,T1868494,REC-LEGACY-0134
45d10965-1972-499b-986c-100b0afa7e2b,U9517464,REC-LEGACY-0136
46bf7b5a-863a-4cf8-9b45-eb3cb4028b57,U2593042,REC-LEGACY-0138
490b1e10-68d3-4110-a354-5d3e9f2e021a,N5770230,REC-LEGACY-0142
4999ec8c-11c4-47d8-b639-0735815f8a59,U2337971,REC-LEGACY-0143
4aa7f27a-50f7-491e-8b5a-96e6dc149987,R9794767,REC-LEGACY-0145
4bb1917f-f539-4402-9359-6aca2e071642,S1747469,REC-LEGACY-0147
504bd696-1453-4108-9e75-1f485d973224,,REC-LEGACY-0156
53ab379f-d387-43ba-b9d1-901a58c27aec,U3391291,REC-LEGACY-0163
54f6bb2e-3fc3-4f87-bf62-9ee18078fc89,T6419402,REC-LEGACY-0165
56f4c084-2ada-488e-815c-412cf421e808,R1520649,REC-LEGACY-0169
5ea16cf1-c169-4c18-913e-48f8c1d76b99,R3861954,REC-LEGACY-0184
5f618324-087f-4648-8906-1c6566386965,T3383567,REC-LEGACY-0186
61a8dc52-888c-475b-82ad-b48dade323c8,N6336339,REC-LEGACY-0191
65610acd-57b8-469d-a317-b752f798f9f9,T2551662,REC-LEGACY-0198
680c06cc-1aaf-4ce5-87dd-36f3a9ed7bbb,T3755982,REC-LEGACY-0203
